floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,19,2.0,2.45,2.0,2.45,24.78,0,4,0
1.0,19,2.0,2.04,4.0,4.49,25.7,8,2,3
2.0,19,2.04,1.77,6.04,6.26,26.46,4,2,2
3.0,19,2.08,2.51,8.12,8.77,27.13,3,2,0
4.0,19,2.12,2.16,10.24,10.93,28.06,3,2,1
5.0,19,2.16,2.23,12.4,13.16,28.87,7,3,2
6.0,19,2.2,1.95,14.6,15.11,29.69,5,3,2
7.0,19,2.24,1.97,16.84,17.08,30.41,4,4,3
8.0,19,2.28,1.94,19.12,19.02,31.14,7,2,3
9.0,19,2.32,1.92,21.44,20.94,31.86,8,4,3
10.0,19,2.36,1.99,23.8,22.93,32.56,6,4,1
11.0,19,2.4,2.75,26.2,25.68,33.29,9,4,2
12.0,19,2.44,2.64,28.64,28.32,34.3,7,4,3
13.0,19,2.48,2.28,31.12,30.6,35.26,8,2,3
14.0,19,2.52,2.55,33.64,33.15,36.09,8,4,3
15.0,19,2.56,2.25,36.2,35.4,37.01,7,3,3
16.0,19,2.6,2.26,38.8,37.66,37.82,8,4,3
17.0,19,2.64,2.26,41.44,39.92,38.64,6,4,3
18.0,19,2.68,3.13,44.12,43.05,39.45,6,2,3
19.0,19,2.72,2.56,46.84,45.61,40.57,7,2,3
20.0,19,2.76,2.65,49.6,48.26,41.48,6,2,2
21.0,19,2.8,2.31,52.4,50.57,42.43,6,2,3
22.0,19,2.84,2.41,55.24,52.98,43.24,5,2,2
23.0,19,2.88,3.09,58.12,56.07,44.1,7,3,3
24.0,19,2.92,2.43,61.04,58.5,45.19,7,4,2
25.0,19,2.96,2.57,64.0,61.07,46.04,5,4,1
26.0,19,3.0,3.07,67.0,64.14,46.94,7,3,3
27.0,19,3.0,2.5,70.0,66.64,48.01,5,2,3
28.0,19,3.0,2.63,73.0,69.27,48.88,5,2,1
29.0,19,3.0,2.66,76.0,71.93,49.8,3,2,2
30.0,19,3.0,3.08,79.0,75.01,50.72,5,3,2
31.0,19,3.0,2.57,82.0,77.58,51.78,1,4,0
32.0,19,3.0,2.7,85.0,80.28,52.66,5,4,2
33.0,19,3.0,2.81,88.0,83.09,53.59,4,2,1
34.0,19,3.0,2.94,91.0,86.03,54.55,7,3,2
35.0,19,3.0,2.71,94.0,88.74,55.55,8,2,2
36.0,19,3.0,3.41,97.0,92.15,56.46,7,2,3
37.0,19,3.0,3.49,100.0,95.64,57.62,6,2,3
38.0,19,3.0,3.45,103.0,99.09,58.79,8,4,3
39.0,19,3.0,2.53,106.0,101.62,59.95,9,2,3
40.0,19,3.0,3.12,109.0,104.74,60.79,7,4,2
41.0,19,3.0,2.87,112.0,107.61,61.83,5,3,3
42.0,19,3.0,2.9,115.0,110.51,62.78,5,3,2
43.0,19,3.0,2.57,118.0,113.08,63.74,2,4,0
44.0,19,3.0,3.22,121.0,116.3,64.59,2,3,0
45.0,19,3.0,3.25,124.0,119.55,65.64,5,4,0
46.0,19,3.0,2.85,127.0,122.4,66.71,4,3,3
47.0,19,3.0,3.48,130.0,125.88,67.63,6,3,1
48.0,19,3.0,2.72,133.0,128.6,68.76,8,2,2
49.0,19,3.0,2.84,136.0,131.44,69.64,4,2,3
50.0,19,3.0,3.34,139.0,134.78,70.56,3,3,1
51.0,19,3.0,3.41,142.0,138.19,71.63,11,3,3
52.0,19,3.0,2.59,145.0,140.78,72.72,7,2,3
53.0,19,3.0,3.15,148.0,143.93,73.55,7,4,3
54.0,19,3.0,2.94,151.0,146.87,74.55,3,3,1
55.0,19,3.0,3.2,154.0,150.07,75.48,10,4,3
56.0,19,3.0,2.89,157.0,152.96,76.49,8,2,3
57.0,19,3.0,2.89,160.0,155.85,77.4,7,3,3
