floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,0,2.0,1.84,2.0,1.84,22.74,0,3,0
1.0,0,2.0,2.21,4.0,4.05,23.43,8,2,3
2.0,0,2.04,1.63,6.04,5.68,24.25,8,4,2
3.0,0,2.08,2.45,8.12,8.13,24.86,5,2,3
4.0,0,2.12,2.41,10.24,10.54,25.77,9,2,3
5.0,0,2.16,2.3,12.4,12.84,26.67,6,2,0
6.0,0,2.2,2.65,14.6,15.49,27.52,7,2,3
7.0,0,2.24,2.27,16.84,17.76,28.49,11,4,3
8.0,0,2.28,1.99,19.12,19.75,29.33,5,4,2
9.0,0,2.32,2.68,21.44,22.43,30.06,3,2,1
10.0,0,2.36,2.24,23.8,24.67,31.04,2,4,2
11.0,0,2.4,2.79,26.2,27.46,31.85,6,2,1
12.0,0,2.44,2.01,28.64,29.47,32.87,2,2,1
13.0,0,2.48,2.2,31.12,31.67,33.59,8,4,3
14.0,0,2.52,2.45,33.64,34.12,34.39,6,4,3
15.0,0,2.56,3.06,36.2,37.18,35.27,3,2,0
16.0,0,2.6,2.57,38.8,39.75,36.37,8,3,3
17.0,0,2.64,2.38,41.44,42.13,37.29,7,2,3
18.0,0,2.68,2.65,44.12,44.78,38.14,7,4,2
19.0,0,2.72,3.13,46.84,47.91,39.09,4,2,2
20.0,0,2.76,2.44,49.6,50.35,40.2,6,4,2
21.0,0,2.8,2.32,52.4,52.67,41.06,6,2,3
22.0,0,2.84,2.57,55.24,55.24,41.88,5,2,3
23.0,0,2.88,2.49,58.12,57.73,42.78,4,2,1
24.0,0,2.92,2.62,61.04,60.35,43.65,6,3,3
25.0,0,2.96,2.47,64.0,62.82,44.57,3,3,2
26.0,0,3.0,3.38,67.0,66.2,45.43,12,4,3
27.0,0,3.0,3.21,70.0,69.41,46.6,7,4,3
28.0,0,3.0,2.92,73.0,72.33,47.71,8,3,3
29.0,0,3.0,3.49,76.0,75.82,48.72,6,4,2
30.0,0,3.0,3.31,79.0,79.13,49.92,7,3,3
31.0,0,3.0,2.85,82.0,81.98,51.05,3,3,1
32.0,0,3.0,3.15,85.0,85.13,52.02,6,3,3
33.0,0,3.0,2.7,88.0,87.83,53.09,8,2,3
34.0,0,3.0,2.93,91.0,90.76,54.0,6,2,1
35.0,0,3.0,2.66,94.0,93.42,54.99,5,4,2
36.0,0,3.0,3.22,97.0,96.64,55.88,7,3,3
37.0,0,3.0,2.66,100.0,99.3,56.96,7,3,2
38.0,0,3.0,2.87,103.0,102.17,57.85,5,2,3
39.0,0,3.0,2.56,106.0,104.73,58.8,8,3,3
40.0,0,3.0,2.92,109.0,107.65,59.65,4,2,0
41.0,0,3.0,2.68,112.0,110.33,60.62,10,3,3
42.0,0,3.0,2.54,115.0,112.87,61.5,7,3,3
43.0,0,3.0,3.39,118.0,116.26,62.33,9,3,3
44.0,0,3.0,2.62,121.0,118.88,63.44,7,2,3
45.0,0,3.0,3.27,124.0,122.15,64.3,4,3,2
46.0,0,3.0,2.88,127.0,125.03,65.36,3,3,1
47.0,0,3.0,3.48,130.0,128.51,66.29,7,4,3
48.0,0,3.0,2.72,133.0,131.23,67.41,8,3,3
49.0,0,3.0,3.04,136.0,134.27,68.29,4,4,3
50.0,0,3.0,3.32,139.0,137.59,69.26,8,4,3
51.0,0,3.0,2.54,142.0,140.13,70.32,8,2,3
52.0,0,3.0,3.5,145.0,143.63,71.13,9,3,3
53.0,0,3.0,3.29,148.0,146.92,72.23,3,3,1
54.0,0,3.0,2.65,151.0,149.57,73.27,7,4,3
55.0,0,3.0,3.49,154.0,153.06,74.11,6,2,3
56.0,0,3.0,2.83,157.0,155.89,75.2,7,3,1
57.0,0,3.0,3.12,160.0,159.01,76.08,4,4,3
58.0,0,3.0,3.34,163.0,162.35,77.05,5,3,3
59.0,0,3.0,3.34,166.0,165.69,78.09,6,4,3
60.0,0,3.0,3.13,169.0,168.82,79.12,4,2,2
61.0,0,3.0,2.57,172.0,171.39,80.08,6,3,3
62.0,0,3.0,2.84,175.0,174.23,80.87,6,4,3
63.0,0,3.0,3.14,178.0,177.37,81.73,6,4,3
64.0,0,3.0,2.53,181.0,179.9,82.69,4,3,3
65.0,0,3.0,3.02,184.0,182.92,83.46,4,2,3
66.0,0,3.0,3.25,187.0,186.17,84.37,5,3,3
67.0,0,3.0,2.54,190.0,188.71,85.35,9,2,3
68.0,0,3.0,3.27,193.0,191.98,86.11,5,3,3
69.0,0,3.0,2.67,196.0,194.65,87.09,6,3,3
70.0,0,3.0,2.68,199.0,197.33,87.88,4,4,3
71.0,0,3.0,2.76,202.0,200.09,88.68,6,2,3
72.0,0,3.0,2.87,205.0,202.96,89.5,8,3,3
73.0,0,3.0,3.01,208.0,205.97,90.34,5,2,3
74.0,0,3.0,2.81,211.0,208.78,91.23,1,2,1
75.0,0,3.0,3.12,214.0,211.9,92.05,4,2,2
76.0,0,3.0,3.36,217.0,215.26,92.96,5,3,1
77.0,0,3.0,2.82,220.0,218.08,93.94,4,4,1
78.0,0,3.0,2.67,223.0,220.75,94.76,5,4,3
79.0,0,3.0,3.41,226.0,224.16,95.53,6,2,3
80.0,0,3.0,3.23,229.0,227.39,96.51,9,3,3
81.0,0,3.0,2.85,232.0,230.24,97.44,8,3,3
82.0,0,3.0,3.49,235.0,233.73,98.25,10,4,3
83.0,0,3.0,3.41,238.0,237.14,99.24,6,2,3
84.0,0,3.0,3.03,241.0,240.17,100.21,2,3,1
85.0,0,3.0,2.6,244.0,242.77,101.07,6,4,1
86.0,0,3.0,2.99,247.0,245.76,101.8,7,4,3
87.0,0,3.0,2.98,250.0,248.74,102.64,5,2,3
88.0,0,3.0,2.73,253.0,251.47,103.47,2,3,2
89.0,0,3.0,2.57,256.0,254.04,104.23,5,2,1
90.0,0,3.0,2.9,259.0,256.94,104.94,6,3,2
91.0,0,3.0,3.1,262.0,260.04,105.75,6,3,3
92.0,0,3.0,3.23,265.0,263.27,106.6,4,3,3
93.0,0,3.0,2.75,268.0,266.02,107.49,7,3,3
94.0,0,3.0,2.77,271.0,268.79,108.24,6,2,3
95.0,0,3.0,3.26,274.0,272.05,109.0,7,3,3
96.0,0,3.0,2.59,277.0,274.64,109.88,2,4,1
97.0,0,3.0,2.68,280.0,277.32,110.59,4,3,2
98.0,0,3.0,2.71,283.0,280.03,111.31,6,3,2
99.0,0,3.0,2.54,286.0,282.57,112.04,5,4,3
100.0,0,3.0,2.88,289.0,285.45,112.72,5,2,2
101.0,0,3.0,3.49,292.0,288.94,113.49,3,4,1
102.0,0,3.0,3.28,295.0,292.22,114.42,5,3,1
103.0,0,3.0,2.65,298.0,294.87,115.29,5,3,2
104.0,0,3.0,2.94,301.0,297.81,115.99,6,3,1
105.0,0,3.0,2.6,304.0,300.41,116.77,5,4,2
106.0,0,3.0,3.15,307.0,303.56,117.45,8,3,3
107.0,0,3.0,3.13,310.0,306.69,118.28,4,4,3
108.0,0,3.0,2.65,313.0,309.34,119.09,5,3,2
109.0,0,3.0,3.3,316.0,312.64,119.78,5,4,2
110.0,0,3.0,2.67,319.0,315.31,120.64,6,4,3
111.0,0,3.0,3.5,322.0,318.81,121.33,7,2,3
112.0,0,3.0,3.01,325.0,321.82,122.23,1,2,0
113.0,0,3.0,3.12,328.0,324.94,123.0,5,3,1
114.0,0,3.0,2.97,331.0,327.91,123.8,10,4,3
115.0,0,3.0,2.79,334.0,330.7,124.55,7,2,3
116.0,0,3.0,3.46,337.0,334.16,125.26,10,3,3
117.0,0,3.0,2.63,340.0,336.79,126.13,5,3,1
118.0,0,3.0,3.18,343.0,339.97,126.8,10,3,3
119.0,0,3.0,3.18,346.0,343.15,127.59,5,3,1
120.0,0,3.0,2.7,349.0,345.85,128.39,10,4,3
