floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,17,2.0,1.72,2.0,1.72,21.48,0,3,0
1.0,17,2.0,1.8,4.0,3.52,22.2,5,3,2
2.0,17,2.04,1.81,6.04,5.33,22.94,7,3,2
3.0,17,2.08,1.58,8.12,6.91,23.69,9,2,3
4.0,17,2.12,2.56,10.24,9.47,24.35,5,4,1
5.0,17,2.16,2.52,12.4,11.99,25.4,8,3,3
6.0,17,2.2,2.0,14.6,13.99,26.44,6,4,0
7.0,17,2.24,2.68,16.84,16.67,27.25,4,4,2
8.0,17,2.28,2.73,19.12,19.4,28.35,4,2,2
9.0,17,2.32,2.44,21.44,21.84,29.46,3,4,1
10.0,17,2.36,2.49,23.8,24.33,30.45,6,2,3
11.0,17,2.4,2.23,26.2,26.56,31.46,6,2,3
12.0,17,2.44,2.58,28.64,29.14,32.35,5,2,1
13.0,17,2.48,2.91,31.12,32.05,33.39,7,2,2
14.0,17,2.52,2.53,33.64,34.58,34.56,6,2,3
15.0,17,2.56,2.22,36.2,36.8,35.56,8,2,3
16.0,17,2.6,2.92,38.8,39.72,36.45,7,2,3
17.0,17,2.64,2.82,41.44,42.54,37.6,6,4,3
18.0,17,2.68,2.58,44.12,45.12,38.72,6,4,3
19.0,17,2.72,2.46,46.84,47.58,39.73,3,4,0
20.0,17,2.76,2.95,49.6,50.53,40.7,9,2,3
21.0,17,2.8,3.09,52.4,53.62,41.85,8,3,3
22.0,17,2.84,3.28,55.24,56.9,43.06,7,4,3
23.0,17,2.88,3.35,58.12,60.25,44.33,7,3,2
24.0,17,2.92,2.57,61.04,62.82,45.62,11,2,3
25.0,17,2.96,2.76,64.0,65.58,46.61,8,4,3
26.0,17,3.0,2.74,67.0,68.32,47.67,5,4,3
27.0,17,3.0,3.08,70.0,71.4,48.71,7,4,3
28.0,17,3.0,3.27,73.0,74.67,49.89,7,2,3
29.0,17,3.0,3.37,76.0,78.04,51.12,8,4,3
30.0,17,3.0,3.39,79.0,81.43,52.4,4,4,2
31.0,17,3.0,2.55,82.0,83.98,53.67,5,4,3
32.0,17,3.0,2.92,85.0,86.9,54.62,6,4,3
33.0,17,3.0,3.17,88.0,90.07,55.71,2,4,1
34.0,17,3.0,3.34,91.0,93.41,56.89,7,3,3
35.0,17,3.0,3.48,94.0,96.89,58.13,5,2,1
36.0,17,3.0,2.89,97.0,99.78,59.41,7,2,3
37.0,17,3.0,2.69,100.0,102.47,60.47,6,2,3
38.0,17,3.0,3.13,103.0,105.6,61.45,10,4,3
39.0,17,3.0,2.98,106.0,108.58,62.59,4,4,1
40.0,17,3.0,3.09,109.0,111.67,63.67,7,3,3
41.0,17,3.0,3.14,112.0,114.81,64.79,8,3,3
42.0,17,3.0,3.2,115.0,118.01,65.92,6,3,3
43.0,17,3.0,2.77,118.0,120.78,67.06,4,2,1
44.0,17,3.0,3.41,121.0,124.19,68.05,9,4,3
45.0,17,3.0,2.5,124.0,126.69,69.26,6,3,1
46.0,17,3.0,3.17,127.0,129.86,70.15,5,3,1
47.0,17,3.0,2.64,130.0,132.5,71.27,5,4,2
48.0,17,3.0,3.2,133.0,135.7,72.2,5,3,3
49.0,17,3.0,2.84,136.0,138.54,73.32,7,4,3
50.0,17,3.0,2.7,139.0,141.24,74.31,5,3,2
51.0,17,3.0,3.04,142.0,144.28,75.25,5,2,2
52.0,17,3.0,3.28,145.0,147.56,76.3,5,2,0
53.0,17,3.0,2.9,148.0,150.46,77.43,7,3,3
54.0,17,3.0,2.88,151.0,153.34,78.43,8,4,3
55.0,17,3.0,2.83,154.0,156.17,79.41,8,2,3
56.0,17,3.0,2.99,157.0,159.16,80.38,4,4,3
57.0,17,3.0,2.62,160.0,161.78,81.39,8,3,3
58.0,17,3.0,2.53,163.0,164.31,82.28,7,4,1
59.0,17,3.0,2.63,166.0,166.94,83.13,12,2,3
60.0,17,3.0,3.28,169.0,170.22,84.02,8,2,3
61.0,17,3.0,2.85,172.0,173.07,85.12,4,3,1
62.0,17,3.0,3.2,175.0,176.27,86.07,6,4,3
63.0,17,3.0,2.87,178.0,179.14,87.13,7,4,0
64.0,17,3.0,2.86,181.0,182.0,88.08,3,2,1
65.0,17,3.0,2.85,184.0,184.85,89.02,7,4,3
66.0,17,3.0,2.59,187.0,187.44,89.96,10,2,3
67.0,17,3.0,2.9,190.0,190.34,90.81,6,4,0
68.0,17,3.0,2.56,193.0,192.9,91.75,7,2,3
69.0,17,3.0,3.11,196.0,196.01,92.59,8,2,3
70.0,17,3.0,3.14,199.0,199.15,93.59,5,2,2
71.0,17,3.0,3.22,202.0,202.37,94.61,5,2,3
72.0,17,3.0,2.96,205.0,205.33,95.64,8,2,3
73.0,17,3.0,3.39,208.0,208.72,96.59,7,4,3
74.0,17,3.0,3.28,211.0,212.0,97.67,6,2,2
75.0,17,3.0,3.17,214.0,215.17,98.71,7,4,2
76.0,17,3.0,3.48,217.0,218.65,99.71,5,4,3
77.0,17,3.0,2.67,220.0,221.32,100.81,7,4,2
78.0,17,3.0,3.19,223.0,224.51,101.64,6,2,3
79.0,17,3.0,3.16,226.0,227.67,102.64,5,4,2
80.0,17,3.0,3.38,229.0,231.05,103.62,3,4,0
81.0,17,3.0,2.61,232.0,233.66,104.67,9,4,3
82.0,17,3.0,3.38,235.0,237.04,105.47,2,4,1
83.0,17,3.0,2.96,238.0,240.0,106.51,5,2,3
84.0,17,3.0,3.07,241.0,243.07,107.42,6,2,2
85.0,17,3.0,3.34,244.0,246.41,108.35,9,4,3
86.0,17,3.0,3.15,247.0,249.56,109.37,6,2,1
87.0,17,3.0,3.43,250.0,252.99,110.32,1,4,1
88.0,17,3.0,3.01,253.0,256.0,111.35,5,3,3
89.0,17,3.0,2.94,256.0,258.94,112.25,6,3,2
90.0,17,3.0,2.92,259.0,261.86,113.13,3,3,1
91.0,17,3.0,2.63,262.0,264.49,114.0,5,2,3
92.0,17,3.0,2.92,265.0,267.41,114.78,4,4,2
93.0,17,3.0,3.26,268.0,270.67,115.64,2,4,1
94.0,17,3.0,2.5,271.0,273.17,116.6,7,4,3
95.0,17,3.0,2.85,274.0,276.02,117.33,6,4,3
96.0,17,3.0,2.72,277.0,278.74,118.16,5,4,3
97.0,17,3.0,2.83,280.0,281.57,118.96,2,2,2
98.0,17,3.0,3.24,283.0,284.81,119.78,5,4,3
99.0,17,3.0,2.93,286.0,287.74,120.71,5,3,3
100.0,17,3.0,2.81,289.0,290.55,121.56,5,2,3
101.0,17,3.0,2.92,292.0,293.47,122.36,6,2,3
102.0,17,3.0,2.99,295.0,296.46,123.19,9,3,3
103.0,17,3.0,3.33,298.0,299.79,124.05,5,2,3
104.0,17,3.0,3.11,301.0,302.9,124.99,6,4,3
105.0,17,3.0,3.0,304.0,305.9,125.87,8,4,3
106.0,17,3.0,3.14,307.0,309.04,126.71,4,4,2
107.0,17,3.0,3.49,310.0,312.53,127.59,1,2,0
108.0,17,3.0,3.34,313.0,315.87,128.56,5,4,3
109.0,17,3.0,3.11,316.0,318.98,129.49,3,2,1
110.0,17,3.0,3.08,319.0,322.06,130.35,4,3,3
111.0,17,3.0,3.47,322.0,325.53,131.19,6,4,3
112.0,17,3.0,3.38,325.0,328.91,132.15,5,3,3
113.0,17,3.0,2.87,328.0,331.78,133.07,5,4,3
114.0,17,3.0,3.01,331.0,334.79,133.85,5,2,0
115.0,17,3.0,2.76,334.0,337.55,134.66,6,2,3
116.0,17,3.0,3.04,337.0,340.59,135.41,4,2,3
117.0,17,3.0,2.51,340.0,343.1,136.22,5,3,3
118.0,17,3.0,2.65,343.0,345.75,136.9,8,2,3
119.0,17,3.0,2.52,346.0,348.27,137.6,8,3,3
120.0,17,3.0,3.17,349.0,351.44,138.27,8,2,3
