floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,11,2.0,1.94,2.0,1.94,21.77,0,2,0
1.0,11,2.0,1.6,4.0,3.54,22.51,2,4,1
2.0,11,2.04,1.62,6.04,5.16,23.12,6,2,2
3.0,11,2.08,1.86,8.12,7.02,23.74,7,4,3
4.0,11,2.12,2.04,10.24,9.06,24.44,7,3,2
5.0,11,2.16,1.78,12.4,10.84,25.22,4,3,2
6.0,11,2.2,1.88,14.6,12.72,25.89,9,4,3
7.0,11,2.24,2.72,16.84,15.44,26.6,10,2,3
8.0,11,2.28,2.53,19.12,17.97,27.62,5,3,2
9.0,11,2.32,1.93,21.44,19.9,28.57,10,4,3
10.0,11,2.36,2.72,23.8,22.62,29.29,5,2,2
11.0,11,2.4,2.7,26.2,25.32,30.31,8,2,3
12.0,11,2.44,2.17,28.64,27.49,31.31,5,4,2
13.0,11,2.48,2.67,31.12,30.16,32.11,6,2,3
14.0,11,2.52,2.15,33.64,32.31,33.1,7,3,3
15.0,11,2.56,2.39,36.2,34.7,33.89,5,4,1
16.0,11,2.6,2.41,38.8,37.11,34.77,8,2,3
17.0,11,2.64,2.2,41.44,39.31,35.66,6,4,2
18.0,11,2.68,2.23,44.12,41.54,36.46,4,3,1
19.0,11,2.72,2.4,46.84,43.94,37.27,2,3,2
20.0,11,2.76,3.24,49.6,47.18,38.15,2,4,0
21.0,11,2.8,2.96,52.4,50.14,39.32,8,3,3
22.0,11,2.84,2.87,55.24,53.01,40.39,5,4,3
23.0,11,2.88,2.92,58.12,55.93,41.42,5,3,2
24.0,11,2.92,2.56,61.04,58.49,42.47,10,4,3
25.0,11,2.96,3.26,64.0,61.75,43.39,3,4,0
26.0,11,3.0,2.64,67.0,64.39,44.55,5,3,3
27.0,11,3.0,2.66,70.0,67.05,45.49,8,2,3
28.0,11,3.0,3.42,73.0,70.47,46.43,7,4,3
29.0,11,3.0,2.77,76.0,73.24,47.64,8,4,3
30.0,11,3.0,2.57,79.0,75.81,48.61,3,4,3
31.0,11,3.0,2.55,82.0,78.36,49.51,5,3,3
32.0,11,3.0,3.49,85.0,81.85,50.4,6,2,3
33.0,11,3.0,3.04,88.0,84.89,51.62,8,4,3
34.0,11,3.0,3.14,91.0,88.03,52.67,4,4,3
35.0,11,3.0,2.78,94.0,90.81,53.76,4,4,2
36.0,11,3.0,2.76,97.0,93.57,54.71,7,2,3
37.0,11,3.0,2.97,100.0,96.54,55.66,5,3,0
38.0,11,3.0,3.38,103.0,99.92,56.68,4,3,1
39.0,11,3.0,2.72,106.0,102.64,57.83,7,3,3
40.0,11,3.0,2.71,109.0,105.35,58.75,8,2,3
41.0,11,3.0,3.03,112.0,108.38,59.67,9,3,3
42.0,11,3.0,3.25,115.0,111.63,60.69,5,2,3
43.0,11,3.0,2.54,118.0,114.17,61.78,10,4,3
44.0,11,3.0,2.66,121.0,116.83,62.64,7,2,3
45.0,11,3.0,2.74,124.0,119.57,63.52,7,4,3
46.0,11,3.0,3.35,127.0,122.92,64.44,5,3,3
47.0,11,3.0,2.9,130.0,125.82,65.55,7,3,3
48.0,11,3.0,2.66,133.0,128.48,66.51,10,4,2
49.0,11,3.0,3.2,136.0,131.68,67.38,5,3,3
50.0,11,3.0,3.13,139.0,134.81,68.43,3,2,0
51.0,11,3.0,3.07,142.0,137.88,69.46,5,2,3
52.0,11,3.0,2.63,145.0,140.51,70.46,2,2,1
53.0,11,3.0,2.65,148.0,143.16,71.31,4,4,2
54.0,11,3.0,3.13,151.0,146.29,72.17,5,3,3
55.0,11,3.0,2.81,154.0,149.1,73.18,9,2,3
56.0,11,3.0,2.82,157.0,151.92,74.09,8,2,3
57.0,11,3.0,3.15,160.0,155.07,74.99,10,2,3
58.0,11,3.0,2.92,163.0,157.99,76.0,9,3,3
59.0,11,3.0,3.24,166.0,161.23,76.93,3,3,2
60.0,11,3.0,3.41,169.0,164.64,77.95,7,3,3
61.0,11,3.0,3.43,172.0,168.07,79.03,5,4,3
62.0,11,3.0,3.47,175.0,171.54,80.11,5,4,1
63.0,11,3.0,3.26,178.0,174.8,81.2,9,3,3
64.0,11,3.0,2.91,181.0,177.71,82.22,6,4,2
65.0,11,3.0,3.35,184.0,181.06,83.12,8,4,2
66.0,11,3.0,3.41,187.0,184.47,84.16,6,3,3
67.0,11,3.0,2.71,190.0,187.18,85.21,5,3,2
68.0,11,3.0,2.95,193.0,190.13,86.05,7,3,3
69.0,11,3.0,2.96,196.0,193.09,86.95,7,3,3
70.0,11,3.0,2.65,199.0,195.74,87.85,7,4,3
71.0,11,3.0,3.22,202.0,198.96,88.66,8,2,3
72.0,11,3.0,3.23,205.0,202.19,89.64,2,4,2
73.0,11,3.0,3.02,208.0,205.21,90.62,6,3,3
74.0,11,3.0,2.97,211.0,208.18,91.52,0,4,0
75.0,11,3.0,0.0,214.0,208.18,92.42,6,3,3
76.0,11,3.0,2.83,217.0,211.01,92.42,3,3,2
77.0,11,3.0,3.24,220.0,214.25,93.26,7,4,3
78.0,11,3.0,3.29,223.0,217.54,94.23,4,2,1
79.0,11,3.0,2.57,226.0,220.11,95.21,6,3,3
80.0,11,3.0,3.29,229.0,223.4,95.97,3,3,2
81.0,11,3.0,2.58,232.0,225.98,96.94,4,4,2
82.0,11,3.0,3.5,235.0,229.48,97.7,6,4,1
83.0,11,3.0,3.39,238.0,232.87,98.72,8,4,3
84.0,11,3.0,3.11,241.0,235.98,99.71,8,4,3
85.0,11,3.0,2.69,244.0,238.67,100.61,5,2,2
86.0,11,3.0,2.78,247.0,241.45,101.39,3,4,2
87.0,11,3.0,2.99,250.0,244.44,102.2,6,4,3
88.0,11,3.0,3.33,253.0,247.77,103.06,7,3,3
89.0,11,3.0,2.62,256.0,250.39,104.01,8,2,3
90.0,11,3.0,3.23,259.0,253.62,104.76,6,4,2
91.0,11,3.0,3.18,262.0,256.8,105.68,5,3,2
92.0,11,3.0,2.61,265.0,259.41,106.58,8,2,3
93.0,11,3.0,2.91,268.0,262.32,107.32,6,3,0
94.0,11,3.0,3.14,271.0,265.46,108.14,4,3,2
95.0,11,3.0,3.13,274.0,268.59,109.02,6,4,3
96.0,11,3.0,3.48,277.0,272.07,109.89,7,4,2
97.0,11,3.0,3.26,280.0,275.33,110.86,6,2,3
98.0,11,3.0,2.82,283.0,278.15,111.77,8,4,3
99.0,11,3.0,3.14,286.0,281.29,112.55,9,3,3
100.0,11,3.0,2.52,289.0,283.81,113.41,7,4,3
101.0,11,3.0,3.37,292.0,287.18,114.11,5,3,3
102.0,11,3.0,2.99,295.0,290.17,115.03,7,2,3
103.0,11,3.0,2.79,298.0,292.96,115.84,9,2,3
