floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,9,2.0,1.64,2.0,1.64,21.21,0,2,0
1.0,9,2.0,2.27,4.0,3.91,21.86,7,4,3
2.0,9,2.04,1.67,6.04,5.58,22.77,7,2,1
3.0,9,2.08,1.67,8.12,7.25,23.43,6,3,2
4.0,9,2.12,2.42,10.24,9.67,24.09,6,3,2
5.0,9,2.16,2.6,12.4,12.27,25.05,5,4,2
6.0,9,2.2,2.6,14.6,14.87,26.07,5,2,3
7.0,9,2.24,2.35,16.84,17.22,27.09,7,2,3
8.0,9,2.28,2.14,19.12,19.36,28.01,5,3,3
9.0,9,2.32,1.93,21.44,21.29,28.85,7,3,1
10.0,9,2.36,2.14,23.8,23.43,29.6,8,4,3
11.0,9,2.4,2.86,26.2,26.29,30.43,6,2,1
12.0,9,2.44,2.22,28.64,28.51,31.54,4,4,3
13.0,9,2.48,2.15,31.12,30.66,32.4,6,4,2
14.0,9,2.52,2.99,33.64,33.65,33.22,5,3,3
15.0,9,2.56,2.97,36.2,36.62,34.37,6,3,3
16.0,9,2.6,2.34,38.8,38.96,35.51,7,2,3
17.0,9,2.64,2.57,41.44,41.53,36.4,8,4,2
18.0,9,2.68,2.49,44.12,44.02,37.38,3,2,1
19.0,9,2.72,2.33,46.84,46.35,38.32,5,2,3
20.0,9,2.76,2.35,49.6,48.7,39.2,6,4,1
21.0,9,2.8,3.1,52.4,51.8,40.09,7,3,2
22.0,9,2.84,2.75,55.24,54.55,41.25,7,3,1
23.0,9,2.88,2.48,58.12,57.03,42.28,4,4,3
24.0,9,2.92,3.12,61.04,60.15,43.2,10,4,3
25.0,9,2.96,3.21,64.0,63.36,44.36,7,3,3
26.0,9,3.0,2.66,67.0,66.02,45.55,4,3,1
27.0,9,3.0,2.99,70.0,69.01,46.53,6,2,3
28.0,9,3.0,2.84,73.0,71.85,47.63,4,3,2
