floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,5,2.0,1.99,2.0,1.99,20.23,0,2,0
1.0,5,2.0,2.17,4.0,4.16,21.01,7,4,3
2.0,5,2.04,1.98,6.04,6.14,21.85,4,2,1
3.0,5,2.08,2.26,8.12,8.4,22.62,6,4,2
4.0,5,2.12,2.09,10.24,10.49,23.49,7,4,3
5.0,5,2.16,2.26,12.4,12.75,24.3,4,2,3
6.0,5,2.2,1.75,14.6,14.5,25.17,3,2,0
7.0,5,2.24,2.18,16.84,16.68,25.84,6,2,3
8.0,5,2.28,2.74,19.12,19.42,26.68,7,2,3
9.0,5,2.32,2.05,21.44,21.47,27.73,4,3,1
10.0,5,2.36,1.87,23.8,23.34,28.51,9,3,3
11.0,5,2.4,2.69,26.2,26.03,29.22,4,4,3
12.0,5,2.44,2.63,28.64,28.66,30.24,8,4,3
13.0,5,2.48,2.66,31.12,31.32,31.23,8,3,2
14.0,5,2.52,2.32,33.64,33.64,32.23,10,3,3
15.0,5,2.56,2.11,36.2,35.75,33.1,9,3,3
16.0,5,2.6,2.68,38.8,38.43,33.89,8,3,3
17.0,5,2.64,2.96,41.44,41.39,34.89,3,4,2
18.0,5,2.68,3.03,44.12,44.42,35.99,10,3,3
19.0,5,2.72,2.37,46.84,46.79,37.11,5,3,3
20.0,5,2.76,2.58,49.6,49.37,37.99,5,4,3
21.0,5,2.8,2.97,52.4,52.34,38.94,5,3,2
22.0,5,2.84,3.34,55.24,55.68,40.03,4,3,1
23.0,5,2.88,2.97,58.12,58.65,41.25,5,4,3
24.0,5,2.92,2.64,61.04,61.29,42.33,4,3,2
25.0,5,2.96,2.93,64.0,64.22,43.28,4,4,2
26.0,5,3.0,2.52,67.0,66.74,44.34,6,3,3
27.0,5,3.0,3.23,70.0,69.97,45.25,3,4,1
28.0,5,3.0,2.59,73.0,72.56,46.41,4,4,1
29.0,5,3.0,3.4,76.0,75.96,47.34,7,3,3
30.0,5,3.0,3.19,79.0,79.15,48.55,13,3,3
31.0,5,3.0,2.52,82.0,81.67,49.68,8,4,3
32.0,5,3.0,3.16,85.0,84.83,50.57,4,2,3
33.0,5,3.0,2.92,88.0,87.75,51.68,6,2,3
34.0,5,3.0,2.6,91.0,90.35,52.71,5,3,1
35.0,5,3.0,2.84,94.0,93.19,53.62,5,3,3
36.0,5,3.0,3.04,97.0,96.23,54.61,8,4,2
37.0,5,3.0,2.93,100.0,99.16,55.66,1,4,0
38.0,5,3.0,3.16,103.0,102.32,56.68,5,3,2
39.0,5,3.0,2.99,106.0,105.31,57.77,5,3,3
40.0,5,3.0,2.7,109.0,108.01,58.79,3,2,1
41.0,5,3.0,2.56,112.0,110.57,59.72,7,4,3
42.0,5,3.0,3.05,115.0,113.62,60.59,9,3,3
43.0,5,3.0,2.78,118.0,116.4,61.63,6,2,3
44.0,5,3.0,2.88,121.0,119.28,62.57,4,4,1
45.0,5,3.0,3.49,124.0,122.77,63.54,8,3,2
46.0,5,3.0,3.47,127.0,126.24,64.71,3,3,2
47.0,5,3.0,3.42,130.0,129.66,65.87,6,4,3
48.0,5,3.0,3.17,133.0,132.83,67.01,7,2,3
49.0,5,3.0,3.01,136.0,135.84,68.07,8,3,2
50.0,5,3.0,2.89,139.0,138.73,69.06,4,4,2
51.0,5,3.0,2.89,142.0,141.62,70.01,4,3,1
52.0,5,3.0,3.08,145.0,144.7,70.96,6,3,2
53.0,5,3.0,3.49,148.0,148.19,71.97,2,4,1
54.0,5,3.0,2.86,151.0,151.05,73.11,8,2,3
55.0,5,3.0,3.17,154.0,154.22,74.03,7,4,3
56.0,5,3.0,3.19,157.0,157.41,75.06,2,3,0
57.0,5,3.0,3.11,160.0,160.52,76.09,7,3,3
58.0,5,3.0,2.84,163.0,163.36,77.08,8,4,3
59.0,5,3.0,2.9,166.0,166.26,77.99,7,3,3
60.0,5,3.0,2.78,169.0,169.04,78.91,5,3,3
61.0,5,3.0,2.97,172.0,172.01,79.8,4,2,3
62.0,5,3.0,2.93,175.0,174.94,80.73,11,3,3
63.0,5,3.0,3.2,178.0,178.14,81.66,5,3,3
64.0,5,3.0,3.05,181.0,181.19,82.66,5,4,3
65.0,5,3.0,3.44,184.0,184.63,83.61,8,4,2
66.0,5,3.0,3.39,187.0,188.02,84.68,7,4,3
67.0,5,3.0,3.38,190.0,191.4,85.74,4,4,1
