floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,8,2.0,1.74,2.0,1.74,22.18,0,4,0
1.0,8,2.0,1.95,4.0,3.69,22.88,4,3,0
2.0,8,2.04,1.7,6.04,5.39,23.67,3,4,0
3.0,8,2.08,2.31,8.12,7.7,24.36,7,2,3
4.0,8,2.12,2.0,10.24,9.7,25.29,6,3,3
5.0,8,2.16,2.32,12.4,12.02,26.09,7,3,3
6.0,8,2.2,2.03,14.6,14.05,27.02,3,4,3
7.0,8,2.24,2.2,16.84,16.25,27.83,7,3,3
8.0,8,2.28,2.04,19.12,18.29,28.7,5,2,3
9.0,8,2.32,1.94,21.44,20.23,29.51,9,2,3
10.0,8,2.36,1.9,23.8,22.13,30.28,6,3,3
11.0,8,2.4,2.9,26.2,25.03,31.03,7,3,3
12.0,8,2.44,2.79,28.64,27.82,32.17,9,3,3
13.0,8,2.48,2.78,31.12,30.6,33.27,6,4,3
14.0,8,2.52,2.39,33.64,32.99,34.36,8,4,3
15.0,8,2.56,2.9,36.2,35.89,35.29,8,3,3
16.0,8,2.6,2.13,38.8,38.02,36.41,6,2,3
17.0,8,2.64,2.44,41.44,40.46,37.24,2,2,1
18.0,8,2.68,3.12,44.12,43.58,38.18,2,4,2
19.0,8,2.72,2.31,46.84,45.89,39.38,6,3,2
20.0,8,2.76,3.06,49.6,48.95,40.27,7,2,3
21.0,8,2.8,2.54,52.4,51.49,41.44,3,3,1
22.0,8,2.84,3.11,55.24,54.6,42.41,7,2,3
23.0,8,2.88,2.67,58.12,57.27,43.59,7,2,1
24.0,8,2.92,3.3,61.04,60.57,44.6,8,4,3
25.0,8,2.96,2.82,64.0,63.39,45.84,1,2,1
26.0,8,3.0,2.72,67.0,66.11,46.9,6,2,3
27.0,8,3.0,2.99,70.0,69.1,47.92,8,2,3
28.0,8,3.0,3.12,73.0,72.22,49.03,8,2,3
29.0,8,3.0,2.6,76.0,74.82,50.19,7,3,3
30.0,8,3.0,3.14,79.0,77.96,51.16,7,4,3
31.0,8,3.0,2.63,82.0,80.59,52.31,9,2,3
32.0,8,3.0,2.92,85.0,83.51,53.28,7,4,3
33.0,8,3.0,3.3,88.0,86.81,54.35,6,2,2
34.0,8,3.0,3.11,91.0,89.92,55.55,8,2,3
35.0,8,3.0,2.74,94.0,92.66,56.68,7,3,3
36.0,8,3.0,2.92,97.0,95.58,57.68,7,3,3
37.0,8,3.0,3.33,100.0,98.91,58.73,4,4,3
38.0,8,3.0,3.36,103.0,102.27,59.93,5,2,3
39.0,8,3.0,3.0,106.0,105.27,61.13,8,4,3
40.0,8,3.0,2.69,109.0,107.96,62.2,4,2,3
41.0,8,3.0,3.23,112.0,111.19,63.15,7,3,3
42.0,8,3.0,3.26,115.0,114.45,64.3,7,4,3
43.0,8,3.0,2.52,118.0,116.97,65.45,10,2,3
44.0,8,3.0,3.1,121.0,120.07,66.33,3,4,1
45.0,8,3.0,2.65,124.0,122.72,67.42,5,2,2
46.0,8,3.0,3.45,127.0,126.17,68.34,6,4,3
47.0,8,3.0,2.74,130.0,128.91,69.54,4,2,0
48.0,8,3.0,2.6,133.0,131.51,70.49,9,2,3
49.0,8,3.0,3.4,136.0,134.91,71.39,4,2,1
50.0,8,3.0,3.11,139.0,138.02,72.55,3,2,2
51.0,8,3.0,3.2,142.0,141.22,73.62,5,3,2
52.0,8,3.0,3.48,145.0,144.7,74.71,8,4,3
53.0,8,3.0,3.44,148.0,148.14,75.89,8,3,3
54.0,8,3.0,2.67,151.0,150.81,77.05,7,4,1
55.0,8,3.0,2.77,154.0,153.58,77.95,5,3,3
56.0,8,3.0,3.17,157.0,156.75,78.88,7,4,3
57.0,8,3.0,2.84,160.0,159.59,79.94,8,2,3
58.0,8,3.0,2.8,163.0,162.39,80.89,5,4,3
59.0,8,3.0,3.46,166.0,165.85,81.82,5,2,2
60.0,8,3.0,3.04,169.0,168.89,82.96,7,2,3
61.0,8,3.0,3.07,172.0,171.96,83.97,4,4,3
62.0,8,3.0,2.6,175.0,174.56,84.97,6,4,2
63.0,8,3.0,3.48,178.0,178.04,85.82,4,2,0
64.0,8,3.0,2.93,181.0,180.97,86.96,10,4,3
65.0,8,3.0,2.82,184.0,183.79,87.91,7,4,3
66.0,8,3.0,3.0,187.0,186.79,88.82,5,4,2
67.0,8,3.0,2.81,190.0,189.6,89.79,7,3,3
68.0,8,3.0,3.16,193.0,192.76,90.69,8,3,3
69.0,8,3.0,2.72,196.0,195.48,91.7,3,2,1
70.0,8,3.0,3.33,199.0,198.81,92.57,6,2,2
71.0,8,3.0,2.73,202.0,201.54,93.62,7,3,3
72.0,8,3.0,2.59,205.0,204.13,94.49,1,3,1
73.0,8,3.0,2.72,208.0,206.85,95.3,5,4,3
74.0,8,3.0,3.0,211.0,209.85,96.16,6,4,0
75.0,8,3.0,3.19,214.0,213.04,97.1,5,3,2
76.0,8,3.0,3.22,217.0,216.26,98.09,3,3,3
77.0,8,3.0,2.72,220.0,218.98,99.09,4,2,3
78.0,8,3.0,3.4,223.0,222.38,99.94,10,2,3
79.0,8,3.0,2.73,226.0,225.11,100.98,8,4,3
