floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,7,2.0,2.42,2.0,2.42,21.22,0,4,0
1.0,7,2.0,2.2,4.0,4.62,22.19,3,3,2
2.0,7,2.04,1.99,6.04,6.61,23.08,6,2,2
3.0,7,2.08,2.41,8.12,9.02,23.88,5,2,3
4.0,7,2.12,2.54,10.24,11.56,24.84,7,4,3
5.0,7,2.16,2.48,12.4,14.04,25.85,6,2,1
6.0,7,2.2,2.62,14.6,16.66,26.83,3,3,2
7.0,7,2.24,1.84,16.84,18.5,27.87,7,3,3
8.0,7,2.28,2.36,19.12,20.86,28.6,9,3,2
9.0,7,2.32,2.35,21.44,23.21,29.53,6,3,3
10.0,7,2.36,2.18,23.8,25.39,30.45,6,3,1
11.0,7,2.4,2.29,26.2,27.68,31.3,6,4,2
12.0,7,2.44,2.42,28.64,30.1,32.19,3,4,2
13.0,7,2.48,2.42,31.12,32.52,33.14,5,2,3
14.0,7,2.52,2.05,33.64,34.57,34.07,6,4,2
15.0,7,2.56,2.3,36.2,36.87,34.87,8,2,3
16.0,7,2.6,2.27,38.8,39.14,35.75,9,3,2
17.0,7,2.64,2.45,41.44,41.59,36.63,9,2,3
18.0,7,2.68,2.69,44.12,44.28,37.57,5,4,3
19.0,7,2.72,2.87,46.84,47.15,38.59,7,4,2
20.0,7,2.76,2.83,49.6,49.98,39.69,7,4,3
21.0,7,2.8,2.45,52.4,52.43,40.76,5,2,3
22.0,7,2.84,2.66,55.24,55.09,41.69,6,4,2
23.0,7,2.88,3.06,58.12,58.15,42.69,4,4,2
24.0,7,2.92,2.45,61.04,60.6,43.84,7,3,3
25.0,7,2.96,3.3,64.0,63.9,44.76,9,3,3
26.0,7,3.0,3.3,67.0,67.2,45.99,3,4,1
27.0,7,3.0,3.26,70.0,70.46,47.21,9,4,3
28.0,7,3.0,2.64,73.0,73.1,48.42,5,3,3
29.0,7,3.0,2.65,76.0,75.75,49.39,6,3,3
30.0,7,3.0,3.29,79.0,79.04,50.36,4,3,1
31.0,7,3.0,2.56,82.0,81.6,51.57,5,2,3
32.0,7,3.0,3.44,85.0,85.04,52.5,8,3,2
33.0,7,3.0,3.36,88.0,88.4,53.75,9,3,3
34.0,7,3.0,3.45,91.0,91.85,54.97,4,3,3
35.0,7,3.0,3.3,94.0,95.15,56.21,10,4,3
36.0,7,3.0,2.82,97.0,97.97,57.39,10,2,3
37.0,7,3.0,3.49,100.0,101.46,58.4,7,2,3
