floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count
0.0,6,2.0,1.79,2.0,1.79,24.11,0,4,0
1.0,6,2.0,1.76,4.0,3.55,24.86,8,3,3
2.0,6,2.04,2.44,6.04,5.99,25.61,6,2,2
3.0,6,2.08,2.26,8.12,8.25,26.63,9,3,3
4.0,6,2.12,1.91,10.24,10.16,27.58,4,4,1
5.0,6,2.16,1.84,12.4,12.0,28.37,4,4,2
6.0,6,2.2,1.82,14.6,13.82,29.14,9,4,3
7.0,6,2.24,2.28,16.84,16.1,29.89,6,3,2
8.0,6,2.28,1.95,19.12,18.05,30.84,7,2,3
9.0,6,2.32,2.17,21.44,20.22,31.64,6,2,3
10.0,6,2.36,1.9,23.8,22.12,32.54,3,3,1
11.0,6,2.4,2.14,26.2,24.26,33.32,7,3,2
12.0,6,2.44,2.8,28.64,27.06,34.19,8,3,2
13.0,6,2.48,2.14,31.12,29.2,35.34,4,3,2
14.0,6,2.52,2.14,33.64,31.34,36.21,5,2,3
15.0,6,2.56,3.01,36.2,34.35,37.08,8,4,3
16.0,6,2.6,2.48,38.8,36.83,38.3,7,2,3
17.0,6,2.64,2.86,41.44,39.69,39.29,10,3,3
18.0,6,2.68,2.81,44.12,42.5,40.44,4,2,3
19.0,6,2.72,3.2,46.84,45.7,41.57,7,3,3
20.0,6,2.76,2.49,49.6,48.19,42.84,5,3,3
21.0,6,2.8,2.58,52.4,50.77,43.83,6,2,3
22.0,6,2.84,2.55,55.24,53.32,44.86,8,4,3
23.0,6,2.88,3.28,58.12,56.6,45.86,5,2,2
24.0,6,2.92,2.79,61.04,59.39,47.15,7,2,3
25.0,6,2.96,2.83,64.0,62.22,48.24,7,2,1
26.0,6,3.0,2.87,67.0,65.09,49.35,6,3,2
27.0,6,3.0,2.68,70.0,67.77,50.46,5,3,0
28.0,6,3.0,2.55,73.0,70.32,51.5,8,2,3
29.0,6,3.0,3.0,76.0,73.32,52.48,5,3,2
30.0,6,3.0,3.47,79.0,76.79,53.64,4,4,2
31.0,6,3.0,3.04,82.0,79.83,54.97,4,3,0
32.0,6,3.0,3.13,85.0,82.96,56.13,6,4,3
33.0,6,3.0,2.52,88.0,85.48,57.31,9,4,3
34.0,6,3.0,3.46,91.0,88.94,58.27,7,4,3
