floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,8,2.0,1.81,2.0,1.81,50.23,0,2,0,0,0
1.0,8,2.0,2.06,4.0,3.87,50.96,10,3,3,0,0
2.0,8,2.04,2.16,6.04,6.03,51.8,6,4,2,0,0
3.0,8,2.08,2.24,8.12,8.27,52.67,2,3,1,0,0
4.0,8,2.12,1.99,10.24,10.26,53.57,8,3,3,0,0
5.0,8,2.16,2.2,12.4,12.46,54.36,6,3,2,0,0
6.0,8,2.2,2.38,14.6,14.84,55.24,7,3,3,0,0
7.0,8,2.24,1.96,16.84,16.8,56.19,6,4,3,0,0
8.0,8,2.28,2.1,19.12,18.9,56.97,4,2,2,0,0
9.0,8,2.32,2.72,21.44,21.62,57.8,7,4,2,0,0
10.0,8,2.36,2.38,23.8,24.0,58.88,7,4,3,0,0
11.0,8,2.4,2.72,26.2,26.72,59.82,4,2,1,0,0
12.0,8,2.44,2.22,28.64,28.94,60.88,7,2,3,0,0
13.0,8,2.48,2.93,31.12,31.87,61.75,10,3,3,0,0
14.0,8,2.52,2.66,33.64,34.53,62.9,5,4,1,0,0
15.0,8,2.56,2.23,36.2,36.76,63.93,2,4,1,1,0
16.0,8,2.6,1.36,38.8,38.12,64.8,2,4,0,1,1
17.0,8,2.64,1.18,41.44,39.3,65.32,4,6,2,1,2
18.0,8,2.68,1.7,44.12,41.0,65.78,5,6,2,1,3
19.0,8,2.72,1.18,46.84,42.18,66.44,4,6,1,0,3
20.0,8,2.76,2.75,49.6,44.93,66.89,1,3,1,1,4
21.0,8,2.8,1.83,52.4,46.76,67.95,2,4,0,1,5
22.0,8,2.84,1.31,55.24,48.07,68.65,9,6,3,0,6
23.0,8,2.88,2.91,58.12,50.98,69.15,8,3,1,0,6
24.0,8,2.92,3.19,61.04,54.17,70.26,4,4,2,0,6
25.0,8,2.96,3.25,64.0,57.42,71.47,3,3,2,0,6
26.0,8,3.0,3.38,67.0,60.8,72.7,3,3,0,0,6
27.0,8,3.0,3.63,70.0,64.43,73.97,6,2,3,0,6
28.0,8,3.0,2.9,73.0,67.33,75.33,6,4,3,0,6
29.0,8,3.0,3.42,76.0,70.75,76.42,7,2,3,0,6
30.0,8,3.0,3.74,79.0,74.49,77.69,10,3,3,0,6
31.0,8,3.0,3.65,82.0,78.14,79.08,7,4,3,0,6
32.0,8,3.0,3.54,85.0,81.68,80.42,6,3,3,0,6
33.0,8,3.0,3.59,88.0,85.27,81.72,6,4,2,0,6
34.0,8,3.0,2.79,91.0,88.06,83.04,3,3,2,0,6
35.0,8,3.0,2.89,94.0,90.95,84.05,5,3,3,0,6
36.0,8,3.0,3.65,97.0,94.6,85.1,3,3,2,0,6
37.0,8,3.0,3.1,100.0,97.7,86.42,5,3,1,0,6
38.0,8,3.0,3.56,103.0,101.26,87.53,5,2,3,0,6
39.0,8,3.0,2.63,106.0,103.89,88.81,9,2,3,0,6
40.0,8,3.0,3.4,109.0,107.29,89.75,3,4,3,0,6
41.0,8,3.0,2.9,112.0,110.19,90.96,5,2,3,0,6
42.0,8,3.0,2.7,115.0,112.89,91.99,6,2,2,0,6
43.0,8,3.0,3.01,118.0,115.9,92.94,2,4,0,0,6
44.0,8,3.0,2.59,121.0,118.49,94.0,7,2,2,0,6
45.0,8,3.0,3.31,124.0,121.8,94.91,5,2,2,0,6
46.0,8,3.0,3.08,127.0,124.88,96.06,10,3,3,0,6
47.0,8,3.0,2.86,130.0,127.74,97.13,6,2,3,0,6
48.0,8,3.0,2.79,133.0,130.53,98.13,4,3,3,0,6
49.0,8,3.0,3.33,136.0,133.86,99.09,7,4,1,0,6
50.0,8,3.0,2.92,139.0,136.78,100.24,7,2,3,0,6
51.0,8,3.0,2.62,142.0,139.4,101.24,5,3,3,0,6
52.0,8,3.0,2.87,145.0,142.27,102.13,6,4,3,0,6
53.0,8,3.0,3.13,148.0,145.4,103.11,5,4,3,0,6
54.0,8,3.0,2.64,151.0,148.04,104.17,5,3,3,0,6
55.0,8,3.0,3.24,154.0,151.28,105.06,6,3,3,0,6
