floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,16,2.0,1.82,2.0,1.82,49.06,0,4,0,0,0
1.0,16,2.0,2.48,4.0,4.3,49.75,6,2,3,0,0
2.0,16,2.04,2.53,6.04,6.83,50.68,10,2,3,0,0
3.0,16,2.08,2.26,8.12,9.09,51.63,8,3,3,0,0
4.0,16,2.12,2.16,10.24,11.25,52.48,5,4,1,0,0
5.0,16,2.16,2.36,12.4,13.61,53.29,3,2,2,0,0
6.0,16,2.2,2.49,14.6,16.1,54.17,6,2,3,0,0
7.0,16,2.24,2.38,16.84,18.48,55.09,9,2,3,0,0
8.0,16,2.28,2.38,19.12,20.86,55.98,7,2,3,0,0
9.0,16,2.32,2.34,21.44,23.2,56.86,7,2,3,0,0
10.0,16,2.36,1.91,23.8,25.11,57.72,5,3,2,0,0
11.0,16,2.4,2.06,26.2,27.17,58.42,4,2,0,0,0
12.0,16,2.44,2.15,28.64,29.32,59.18,5,3,3,0,0
13.0,16,2.48,2.15,31.12,31.47,59.96,7,4,1,0,0
14.0,16,2.52,2.76,33.64,34.23,60.75,9,4,3,0,0
15.0,16,2.56,2.49,36.2,36.72,61.75,2,3,2,1,0
16.0,16,2.6,1.11,38.8,37.83,62.65,5,5,3,0,0
17.0,16,2.64,3.08,41.44,40.91,63.05,4,3,3,1,1
18.0,16,2.68,1.46,44.12,42.37,64.17,3,5,3,1,2
19.0,16,2.72,1.4,46.84,43.77,64.69,4,6,0,1,3
20.0,16,2.76,1.09,49.6,44.86,65.19,4,6,2,1,4
21.0,16,2.8,1.44,52.4,46.3,65.59,5,5,3,1,5
22.0,16,2.84,1.65,55.24,47.95,66.1,3,6,0,0,6
23.0,16,2.88,3.16,58.12,51.11,66.69,5,2,2,0,6
24.0,16,2.92,3.78,61.04,54.89,67.82,5,4,0,0,6
25.0,16,2.96,2.96,64.0,57.85,69.16,5,4,3,0,6
26.0,16,3.0,3.27,67.0,61.12,70.21,10,4,3,0,6
27.0,16,3.0,3.05,70.0,64.17,71.36,5,3,1,0,6
28.0,16,3.0,3.61,73.0,67.78,72.43,3,2,1,0,6
29.0,16,3.0,3.6,76.0,71.38,73.69,6,4,3,0,6
30.0,16,3.0,3.0,79.0,74.38,74.94,6,4,3,0,6
31.0,16,3.0,3.34,82.0,77.72,75.98,6,3,1,0,6
32.0,16,3.0,3.51,85.0,81.23,77.13,7,4,3,0,6
33.0,16,3.0,3.56,88.0,84.79,78.34,9,4,3,0,6
34.0,16,3.0,3.35,91.0,88.14,79.56,2,3,0,0,6
35.0,16,3.0,3.26,94.0,91.4,80.7,5,3,3,0,6
36.0,16,3.0,2.8,97.0,94.2,81.81,5,4,1,0,6
37.0,16,3.0,3.03,100.0,97.23,82.76,7,4,3,0,6
38.0,16,3.0,2.74,103.0,99.97,83.78,10,2,3,0,6
39.0,16,3.0,3.26,106.0,103.23,84.7,6,4,2,0,6
40.0,16,3.0,2.93,109.0,106.16,85.79,6,2,1,0,6
41.0,16,3.0,3.0,112.0,109.16,86.77,9,4,3,0,6
42.0,16,3.0,2.92,115.0,112.08,87.76,5,2,1,0,6
43.0,16,3.0,3.07,118.0,115.15,88.73,6,4,3,0,6
44.0,16,3.0,3.24,121.0,118.39,89.74,6,2,3,0,6
45.0,16,3.0,2.73,124.0,121.12,90.81,8,3,2,0,6
46.0,16,3.0,2.83,127.0,123.95,91.7,2,2,2,0,6
47.0,16,3.0,3.24,130.0,127.19,92.63,9,2,3,0,6
48.0,16,3.0,3.01,133.0,130.2,93.68,7,4,3,0,6
49.0,16,3.0,2.97,136.0,133.17,94.66,4,2,3,0,6
50.0,16,3.0,3.28,139.0,136.45,95.61,9,2,3,0,6
51.0,16,3.0,3.31,142.0,139.76,96.67,4,2,1,0,6
52.0,16,3.0,3.57,145.0,143.33,97.73,7,4,3,0,6
53.0,16,3.0,2.85,148.0,146.18,98.87,7,2,3,0,6
54.0,16,3.0,2.77,151.0,148.95,99.77,8,4,3,0,6
55.0,16,3.0,3.51,154.0,152.46,100.65,5,2,2,0,6
