floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,2,2.0,2.43,2.0,2.43,50.43,0,2,0,0,0
1.0,2,2.0,2.11,4.0,4.54,51.46,7,2,3,0,0
2.0,2,2.04,1.78,6.04,6.32,52.36,7,2,2,0,0
3.0,2,2.08,1.89,8.12,8.21,53.11,4,3,2,0,0
4.0,2,2.12,1.98,10.24,10.19,53.91,2,4,1,0,0
5.0,2,2.16,1.99,12.4,12.18,54.74,6,4,2,0,0
6.0,2,2.2,2.46,14.6,14.64,55.58,9,2,3,0,0
7.0,2,2.24,2.15,16.84,16.79,56.61,4,4,2,0,0
8.0,2,2.28,2.0,19.12,18.79,57.5,7,2,3,0,0
9.0,2,2.32,2.19,21.44,20.98,58.34,5,3,2,0,0
10.0,2,2.36,2.6,23.8,23.58,59.25,6,4,2,0,0
11.0,2,2.4,2.56,26.2,26.14,60.32,8,4,3,0,0
12.0,2,2.44,2.65,28.64,28.79,61.38,7,3,3,0,0
13.0,2,2.48,2.7,31.12,31.49,62.47,8,4,3,0,0
14.0,2,2.52,2.03,33.64,33.52,63.57,4,3,3,0,0
15.0,2,2.56,2.21,36.2,35.73,64.4,5,2,3,1,0
16.0,2,2.6,1.47,38.8,37.2,65.3,2,4,2,1,1
17.0,2,2.64,1.91,41.44,39.11,65.9,4,6,2,1,2
18.0,2,2.68,1.27,44.12,40.38,66.67,1,4,0,1,3
19.0,2,2.72,1.94,46.84,42.32,67.19,5,5,2,0,3
20.0,2,2.76,3.15,49.6,45.47,67.97,3,4,1,1,4
21.0,2,2.8,1.1,52.4,46.57,69.24,6,5,3,0,4
22.0,2,2.84,2.74,55.24,49.31,69.68,6,4,3,0,5
23.0,2,2.88,3.26,58.12,52.57,70.78,9,4,3,0,5
24.0,2,2.92,3.06,61.04,55.63,72.07,2,2,2,0,5
25.0,2,2.96,3.1,64.0,58.73,73.29,4,3,1,0,5
26.0,2,3.0,3.59,67.0,62.32,74.52,6,3,1,0,5
27.0,2,3.0,3.06,70.0,65.38,75.93,6,2,3,0,5
28.0,2,3.0,2.88,73.0,68.26,77.13,3,3,1,0,5
29.0,2,3.0,3.0,76.0,71.26,78.25,9,4,3,0,5
30.0,2,3.0,3.7,79.0,74.96,79.42,6,2,3,0,5
31.0,2,3.0,3.43,82.0,78.39,80.85,7,2,3,0,5
32.0,2,3.0,2.94,85.0,81.33,82.18,7,4,1,0,5
33.0,2,3.0,2.98,88.0,84.31,83.3,7,2,3,0,5
34.0,2,3.0,3.65,91.0,87.96,84.44,7,3,3,0,5
35.0,2,3.0,3.02,94.0,90.98,85.83,6,3,3,0,5
36.0,2,3.0,3.19,97.0,94.17,86.98,4,4,3,0,5
37.0,2,3.0,3.29,100.0,97.46,88.18,2,3,2,0,5
38.0,2,3.0,3.4,103.0,100.86,89.42,9,3,3,0,5
39.0,2,3.0,3.06,106.0,103.92,90.69,9,2,3,0,5
40.0,2,3.0,3.45,109.0,107.37,91.83,3,4,1,0,5
41.0,2,3.0,3.25,112.0,110.62,93.12,5,4,2,0,5
42.0,2,3.0,2.91,115.0,113.53,94.32,5,3,0,0,5
43.0,2,3.0,3.47,118.0,117.0,95.39,8,2,3,0,5
44.0,2,3.0,3.43,121.0,120.43,96.66,4,3,3,0,5
45.0,2,3.0,3.44,124.0,123.87,97.91,4,3,1,0,5
46.0,2,3.0,2.76,127.0,126.63,99.16,9,3,3,0,5
47.0,2,3.0,2.88,130.0,129.51,100.16,7,2,3,0,5
48.0,2,3.0,3.41,133.0,132.92,101.2,6,2,3,0,5
49.0,2,3.0,2.77,136.0,135.69,102.42,6,2,3,0,5
50.0,2,3.0,2.6,139.0,138.29,103.42,8,3,3,0,5
51.0,2,3.0,2.65,142.0,140.94,104.34,7,3,3,0,5
52.0,2,3.0,3.3,145.0,144.24,105.28,6,4,1,0,5
53.0,2,3.0,2.92,148.0,147.16,106.45,8,2,3,0,5
54.0,2,3.0,2.73,151.0,149.89,107.48,4,4,2,0,5
55.0,2,3.0,2.64,154.0,152.53,108.44,6,2,3,0,5
