floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,14,2.0,1.69,2.0,1.69,48.52,0,3,0,0,0
1.0,14,2.0,2.29,4.0,3.98,49.19,8,4,3,0,0
2.0,14,2.04,2.04,6.04,6.02,50.09,4,4,3,0,0
3.0,14,2.08,2.37,8.12,8.39,50.89,7,3,3,0,0
4.0,14,2.12,2.35,10.24,10.74,51.81,5,3,3,0,0
5.0,14,2.16,2.09,12.4,12.83,52.73,4,4,2,0,0
6.0,14,2.2,2.41,14.6,15.24,53.54,5,4,2,0,0
7.0,14,2.24,2.29,16.84,17.53,54.48,3,2,2,0,0
8.0,14,2.28,2.22,19.12,19.75,55.36,9,3,3,0,0
9.0,14,2.32,2.23,21.44,21.98,56.22,8,4,3,0,0
10.0,14,2.36,2.51,23.8,24.49,57.07,8,2,3,0,0
11.0,14,2.4,2.07,26.2,26.56,58.04,6,3,1,0,0
12.0,14,2.44,2.62,28.64,29.18,58.83,5,4,2,0,0
13.0,14,2.48,2.28,31.12,31.46,59.83,5,3,3,0,0
14.0,14,2.52,2.03,33.64,33.49,60.69,7,4,2,0,0
15.0,14,2.56,2.96,36.2,36.45,61.46,3,4,1,1,0
16.0,14,2.6,1.82,38.8,38.27,62.58,5,6,3,1,1
17.0,14,2.64,1.21,41.44,39.48,63.27,2,4,1,1,2
18.0,14,2.68,1.35,44.12,40.83,63.72,4,6,1,1,3
19.0,14,2.72,1.01,46.84,41.84,64.23,1,6,0,1,4
20.0,14,2.76,1.11,49.6,42.95,64.61,5,4,0,1,5
21.0,14,2.8,1.7,52.4,44.65,65.02,3,4,1,1,6
22.0,14,2.84,1.82,55.24,46.47,65.66,2,4,1,0,6
23.0,14,2.88,3.15,58.12,49.62,66.34,9,4,3,0,7
24.0,14,2.92,3.23,61.04,52.85,67.51,8,2,3,0,7
25.0,14,2.96,3.34,64.0,56.19,68.71,8,4,3,0,7
26.0,14,3.0,2.96,67.0,59.15,69.94,4,2,2,0,7
27.0,14,3.0,3.05,70.0,62.2,71.03,7,4,3,0,7
28.0,14,3.0,3.51,73.0,65.71,72.14,6,2,3,0,7
29.0,14,3.0,3.82,76.0,69.53,73.42,6,2,2,0,7
30.0,14,3.0,3.07,79.0,72.6,74.81,8,4,3,0,7
31.0,14,3.0,3.43,82.0,76.03,75.92,5,4,1,0,7
32.0,14,3.0,2.95,85.0,78.98,77.15,7,2,3,0,7
33.0,14,3.0,3.51,88.0,82.49,78.21,8,4,3,0,7
34.0,14,3.0,3.46,91.0,85.95,79.47,6,4,3,0,7
35.0,14,3.0,3.55,94.0,89.5,80.7,8,4,3,0,7
36.0,14,3.0,3.03,97.0,92.53,81.95,9,2,2,0,7
37.0,14,3.0,3.11,100.0,95.64,83.02,3,2,1,0,7
38.0,14,3.0,3.41,103.0,99.05,84.12,4,3,2,0,7
39.0,14,3.0,2.87,106.0,101.92,85.31,4,2,0,0,7
40.0,14,3.0,2.95,109.0,104.87,86.31,7,2,3,0,7
41.0,14,3.0,3.65,112.0,108.52,87.34,4,3,1,0,7
42.0,14,3.0,3.35,115.0,111.87,88.6,3,4,2,0,7
43.0,14,3.0,3.23,118.0,115.1,89.75,6,2,2,0,7
44.0,14,3.0,3.29,121.0,118.39,90.86,4,2,2,0,7
45.0,14,3.0,3.06,124.0,121.45,91.99,7,4,2,0,7
46.0,14,3.0,3.11,127.0,124.56,93.03,6,3,2,0,7
47.0,14,3.0,2.95,130.0,127.51,94.08,4,3,2,0,7
48.0,14,3.0,2.81,133.0,130.32,95.08,6,2,2,0,7
49.0,14,3.0,2.84,136.0,133.16,96.03,3,3,1,0,7
50.0,14,3.0,2.6,139.0,135.76,96.98,7,2,3,0,7
51.0,14,3.0,2.81,142.0,138.57,97.85,5,2,2,0,7
52.0,14,3.0,2.94,145.0,141.51,98.79,6,3,2,0,7
53.0,14,3.0,3.36,148.0,144.87,99.76,5,3,1,0,7
54.0,14,3.0,3.03,151.0,147.9,100.88,6,2,3,0,7
55.0,14,3.0,3.14,154.0,151.04,101.88,8,3,3,0,7
