floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,13,2.0,2.17,2.0,2.17,48.5,0,4,0,0,0
1.0,13,2.0,2.25,4.0,4.42,49.39,8,4,3,0,0
2.0,13,2.04,2.39,6.04,6.81,50.31,4,2,3,0,0
3.0,13,2.08,2.11,8.12,8.92,51.29,8,4,2,0,0
4.0,13,2.12,2.15,10.24,11.07,52.15,6,3,3,0,0
5.0,13,2.16,1.69,12.4,12.76,53.02,6,3,3,0,0
6.0,13,2.2,1.83,14.6,14.59,53.71,5,3,3,0,0
7.0,13,2.24,2.01,16.84,16.6,54.45,7,2,3,0,0
8.0,13,2.28,2.44,19.12,19.04,55.26,3,2,0,0,0
9.0,13,2.32,2.3,21.44,21.34,56.24,5,3,1,0,0
10.0,13,2.36,2.63,23.8,23.97,57.16,1,4,0,0,0
11.0,13,2.4,2.85,26.2,26.82,58.22,9,3,3,0,0
12.0,13,2.44,2.59,28.64,29.41,59.35,3,3,1,0,0
13.0,13,2.48,2.72,31.12,32.13,60.38,6,4,3,0,0
14.0,13,2.52,2.44,33.64,34.57,61.45,8,4,3,0,0
15.0,13,2.56,2.47,36.2,37.04,62.42,2,2,2,1,0
16.0,13,2.6,1.46,38.8,38.5,63.39,4,6,2,1,1
17.0,13,2.64,1.71,41.44,40.21,63.96,5,5,1,1,2
18.0,13,2.68,1.27,44.12,41.48,64.63,6,5,2,1,3
19.0,13,2.72,1.16,46.84,42.64,65.13,3,6,2,1,4
20.0,13,2.76,1.61,49.6,44.25,65.58,2,4,0,1,5
21.0,13,2.8,1.15,52.4,45.4,66.2,3,6,2,1,6
22.0,13,2.84,1.23,55.24,46.63,66.65,5,5,2,0,7
23.0,13,2.88,3.82,58.12,50.45,67.13,3,3,1,0,7
24.0,13,2.92,3.7,61.04,54.15,68.61,6,3,3,0,7
25.0,13,2.96,3.76,64.0,57.91,70.03,6,3,3,0,7
26.0,13,3.0,3.15,67.0,61.06,71.47,6,2,3,0,7
27.0,13,3.0,3.59,70.0,64.65,72.67,7,3,3,0,7
28.0,13,3.0,3.26,73.0,67.91,74.03,5,4,3,0,7
29.0,13,3.0,2.93,76.0,70.84,75.27,4,4,2,0,7
30.0,13,3.0,3.53,79.0,74.37,76.37,9,4,3,0,7
31.0,13,3.0,3.1,82.0,77.47,77.69,6,3,3,0,7
32.0,13,3.0,3.12,85.0,80.59,78.85,8,3,3,0,7
33.0,13,3.0,3.21,88.0,83.8,80.01,8,3,3,0,7
34.0,13,3.0,2.91,91.0,86.71,81.2,4,2,2,0,7
35.0,13,3.0,3.24,94.0,89.95,82.27,10,4,3,0,7
36.0,13,3.0,3.22,97.0,93.17,83.46,8,2,3,0,7
37.0,13,3.0,2.99,100.0,96.16,84.64,5,2,3,0,7
38.0,13,3.0,3.32,103.0,99.48,85.73,9,4,3,0,7
39.0,13,3.0,2.71,106.0,102.19,86.94,3,4,2,0,7
40.0,13,3.0,3.49,109.0,105.68,87.92,6,2,2,0,7
41.0,13,3.0,2.98,112.0,108.66,89.17,5,2,3,0,7
42.0,13,3.0,3.24,115.0,111.9,90.24,9,2,3,0,7
43.0,13,3.0,3.15,118.0,115.05,91.4,5,2,3,0,7
44.0,13,3.0,3.41,121.0,118.46,92.52,3,3,1,0,7
45.0,13,3.0,3.01,124.0,121.47,93.73,4,3,1,0,7
46.0,13,3.0,3.03,127.0,124.5,94.79,10,3,3,0,7
47.0,13,3.0,3.12,130.0,127.62,95.85,6,2,3,0,7
48.0,13,3.0,3.24,133.0,130.86,96.95,6,4,3,0,7
49.0,13,3.0,3.43,136.0,134.29,98.08,4,3,2,0,7
50.0,13,3.0,3.37,139.0,137.66,99.27,4,3,1,0,7
51.0,13,3.0,3.35,142.0,141.01,100.43,5,3,3,0,7
52.0,13,3.0,2.73,145.0,143.74,101.58,7,4,3,0,7
53.0,13,3.0,2.63,148.0,146.37,102.52,4,2,1,0,7
54.0,13,3.0,3.52,151.0,149.89,103.42,5,2,2,0,7
55.0,13,3.0,3.11,154.0,153.0,104.62,5,4,1,0,7
