floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,12,2.0,2.24,2.0,2.24,50.18,0,3,0,0,0
1.0,12,2.0,1.63,4.0,3.87,51.0,7,2,3,0,0
2.0,12,2.04,1.64,6.04,5.51,51.59,4,2,3,0,0
3.0,12,2.08,1.73,8.12,7.24,52.19,9,2,3,0,0
4.0,12,2.12,2.38,10.24,9.62,52.82,3,4,2,0,0
5.0,12,2.16,2.63,12.4,12.25,53.68,8,2,3,0,0
6.0,12,2.2,2.56,14.6,14.81,54.63,0,4,0,0,0
7.0,12,2.24,0.0,16.84,14.81,55.56,5,3,2,0,0
8.0,12,2.28,2.45,19.12,17.26,55.56,5,4,3,0,0
9.0,12,2.32,2.15,21.44,19.41,56.44,8,3,3,0,0
10.0,12,2.36,2.69,23.8,22.1,57.21,4,4,1,0,0
11.0,12,2.4,2.6,26.2,24.7,58.17,4,2,2,0,0
12.0,12,2.44,2.24,28.64,26.94,59.1,6,4,3,0,0
13.0,12,2.48,2.89,31.12,29.83,59.89,7,4,3,0,0
14.0,12,2.52,2.27,33.64,32.1,60.92,7,3,3,1,0
15.0,12,2.56,1.03,36.2,33.13,61.72,2,3,0,0,0
16.0,12,2.6,1.58,38.8,34.71,62.08,0,2,0,0,0
17.0,12,2.64,0.0,41.44,34.71,62.64,4,2,2,0,0
18.0,12,2.68,1.5,44.12,36.21,62.64,5,4,1,0,0
19.0,12,2.72,1.45,46.84,37.66,63.16,0,2,0,0,0
20.0,12,2.76,0.0,49.6,37.66,63.67,0,4,0,0,0
21.0,12,2.8,0.0,52.4,37.66,63.67,4,2,2,0,1
22.0,12,2.84,4.37,55.24,42.03,63.67,2,4,2,0,1
23.0,12,2.88,4.12,58.12,46.15,65.2,6,4,3,0,1
24.0,12,2.92,4.23,61.04,50.38,66.63,7,2,3,0,1
25.0,12,2.96,4.2,64.0,54.58,68.1,8,2,2,0,1
26.0,12,3.0,3.98,67.0,58.56,69.54,6,3,3,0,1
27.0,12,3.0,3.98,70.0,62.54,70.91,3,3,1,0,1
28.0,12,3.0,3.55,73.0,66.09,72.26,3,4,3,0,1
29.0,12,3.0,3.62,76.0,69.71,73.47,9,3,3,0,1
30.0,12,3.0,3.19,79.0,72.9,74.7,4,2,2,0,1
31.0,12,3.0,3.94,82.0,76.84,75.77,7,2,3,0,1
32.0,12,3.0,3.16,85.0,80.0,77.09,8,3,3,0,1
33.0,12,3.0,3.55,88.0,83.55,78.15,7,4,3,0,1
34.0,12,3.0,3.5,91.0,87.05,79.33,5,2,3,0,1
35.0,12,3.0,3.05,94.0,90.1,80.49,5,3,2,0,1
36.0,12,3.0,3.36,97.0,93.46,81.5,7,3,3,0,1
37.0,12,3.0,3.19,100.0,96.65,82.6,5,2,3,0,1
38.0,12,3.0,3.3,103.0,99.95,83.65,7,2,3,0,1
39.0,12,3.0,3.7,106.0,103.65,84.72,7,2,2,0,1
40.0,12,3.0,3.2,109.0,106.85,85.93,6,2,3,0,1
41.0,12,3.0,2.81,112.0,109.66,86.96,11,4,3,0,1
42.0,12,3.0,3.41,115.0,113.07,87.87,4,4,2,0,1
43.0,12,3.0,3.44,118.0,116.51,88.97,9,4,3,0,1
44.0,12,3.0,3.3,121.0,119.81,90.07,4,4,1,0,1
45.0,12,3.0,2.81,124.0,122.62,91.12,7,4,3,0,1
46.0,12,3.0,3.42,127.0,126.04,92.01,6,2,2,0,1
47.0,12,3.0,3.49,130.0,129.53,93.1,8,4,3,0,1
48.0,12,3.0,3.33,133.0,132.86,94.2,6,2,1,0,1
49.0,12,3.0,3.34,136.0,136.2,95.24,5,3,3,0,1
50.0,12,3.0,3.42,139.0,139.62,96.29,6,4,3,0,1
51.0,12,3.0,3.53,142.0,143.15,97.35,8,3,3,0,1
52.0,12,3.0,3.06,145.0,146.21,98.45,7,4,3,0,1
53.0,12,3.0,2.59,148.0,148.8,99.39,8,3,3,0,1
54.0,12,3.0,2.66,151.0,151.46,100.19,6,2,3,0,1
55.0,12,3.0,3.37,154.0,154.83,101.01,5,4,3,0,1
