floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,0,2.0,1.53,2.0,1.53,49.36,0,3,0,0,0
1.0,0,2.0,1.89,4.0,3.42,49.95,7,2,1,0,0
2.0,0,2.04,2.36,6.04,5.78,50.68,5,4,3,0,0
3.0,0,2.08,1.61,8.12,7.39,51.58,6,4,3,0,0
4.0,0,2.12,2.04,10.24,9.43,52.2,6,2,3,0,0
5.0,0,2.16,2.63,12.4,12.06,52.98,3,4,1,0,0
6.0,0,2.2,2.0,14.6,14.06,53.98,4,4,0,0,0
7.0,0,2.24,1.77,16.84,15.83,54.74,4,4,0,0,0
8.0,0,2.28,2.78,19.12,18.61,55.41,3,2,1,0,0
9.0,0,2.32,1.98,21.44,20.59,56.46,3,3,3,0,0
10.0,0,2.36,2.31,23.8,22.9,57.2,8,3,2,0,0
11.0,0,2.4,2.61,26.2,25.51,58.07,6,4,3,0,0
12.0,0,2.44,2.04,28.64,27.55,59.05,5,4,2,0,0
13.0,0,2.48,2.39,31.12,29.94,59.81,6,3,3,0,0
14.0,0,2.52,2.19,33.64,32.13,60.7,7,2,0,0,0
15.0,0,2.56,2.43,36.2,34.56,61.52,8,2,3,0,0
16.0,0,2.6,2.22,38.8,36.78,62.42,7,3,3,0,0
17.0,0,2.64,2.3,41.44,39.08,63.24,7,3,3,0,0
18.0,0,2.68,2.86,44.12,41.94,64.09,7,3,3,0,0
19.0,0,2.72,2.41,46.84,44.35,65.14,4,3,0,1,0
20.0,0,2.76,1.76,49.6,46.11,66.02,2,2,0,0,0
21.0,0,2.8,1.66,52.4,47.77,66.67,0,3,0,0,0
22.0,0,2.84,0.0,55.24,47.77,67.27,0,3,0,0,0
23.0,0,2.88,0.0,58.12,47.77,67.27,0,4,0,0,0
24.0,0,2.92,0.0,61.04,47.77,67.27,6,3,3,0,1
25.0,0,2.96,3.95,64.0,51.72,67.27,9,2,3,0,1
26.0,0,3.0,4.34,67.0,56.06,68.71,6,4,3,0,1
27.0,0,3.0,3.71,70.0,59.77,70.28,5,3,3,0,1
28.0,0,3.0,3.4,73.0,63.17,71.61,2,2,1,0,1
29.0,0,3.0,3.68,76.0,66.85,72.83,5,3,2,0,1
30.0,0,3.0,3.84,79.0,70.69,74.15,8,3,2,0,1
31.0,0,3.0,3.7,82.0,74.39,75.51,8,3,2,0,1
32.0,0,3.0,3.85,85.0,78.24,76.82,3,3,3,0,1
33.0,0,3.0,3.65,88.0,81.89,78.18,5,2,3,0,1
34.0,0,3.0,3.38,91.0,85.27,79.46,7,3,2,0,1
35.0,0,3.0,3.18,94.0,88.45,80.64,3,4,2,0,1
36.0,0,3.0,3.79,97.0,92.24,81.74,6,4,3,0,1
37.0,0,3.0,3.54,100.0,95.78,83.06,3,2,1,0,1
38.0,0,3.0,2.96,103.0,98.74,84.28,6,4,3,0,1
39.0,0,3.0,3.15,106.0,101.89,85.29,7,4,3,0,1
40.0,0,3.0,3.61,109.0,105.5,86.37,5,3,3,0,1
41.0,0,3.0,3.14,112.0,108.64,87.6,7,2,3,0,1
42.0,0,3.0,3.42,115.0,112.06,88.67,5,3,3,0,1
43.0,0,3.0,2.76,118.0,114.82,89.83,6,2,3,0,1
44.0,0,3.0,2.84,121.0,117.66,90.76,5,4,3,0,1
45.0,0,3.0,2.93,124.0,120.59,91.71,9,2,3,0,1
46.0,0,3.0,3.66,127.0,124.25,92.69,8,3,3,0,1
47.0,0,3.0,3.54,130.0,127.79,93.91,6,4,2,0,1
48.0,0,3.0,3.5,133.0,131.29,95.09,6,3,3,0,1
49.0,0,3.0,2.71,136.0,134.0,96.25,6,2,3,0,1
50.0,0,3.0,2.98,139.0,136.98,97.14,6,4,3,0,1
51.0,0,3.0,3.13,142.0,140.11,98.12,7,3,2,0,1
52.0,0,3.0,3.41,145.0,143.52,99.14,6,3,3,0,1
53.0,0,3.0,2.79,148.0,146.31,100.25,9,2,3,0,1
54.0,0,3.0,2.96,151.0,149.27,101.16,8,3,2,0,1
55.0,0,3.0,3.62,154.0,152.89,102.12,3,4,0,0,1
