floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,7,2.0,2.34,2.0,2.34,50.83,0,3,0,0,0
1.0,7,2.0,1.52,4.0,3.86,51.78,9,4,3,0,0
2.0,7,2.04,2.1,6.04,5.96,52.39,8,3,3,0,0
3.0,7,2.08,2.53,8.12,8.49,53.24,5,3,3,0,0
4.0,7,2.12,1.89,10.24,10.38,54.26,4,2,1,0,0
5.0,7,2.16,1.98,12.4,12.36,55.02,4,3,1,0,0
6.0,7,2.2,2.68,14.6,15.04,55.81,4,2,0,0,0
7.0,7,2.24,2.73,16.84,17.77,56.88,6,2,1,0,0
8.0,7,2.28,2.16,19.12,19.93,57.97,4,3,2,0,0
9.0,7,2.32,2.2,21.44,22.13,58.83,10,3,3,0,0
10.0,7,2.36,2.13,23.8,24.26,59.7,11,3,3,0,0
11.0,7,2.4,2.62,26.2,26.88,60.54,5,3,3,0,0
12.0,7,2.44,2.66,28.64,29.54,61.57,4,2,2,0,0
13.0,7,2.48,2.72,31.12,32.26,62.61,8,2,3,0,0
14.0,7,2.52,2.46,33.64,34.72,63.68,9,4,3,0,0
15.0,7,2.56,3.05,36.2,37.77,64.63,5,3,1,0,0
16.0,7,2.6,2.54,38.8,40.31,65.82,8,2,3,0,0
17.0,7,2.64,2.51,41.44,42.82,66.8,5,3,2,1,0
18.0,7,2.68,2.0,44.12,44.82,67.77,1,4,1,0,0
19.0,7,2.72,1.09,46.84,45.91,68.54,3,4,0,0,0
20.0,7,2.76,1.19,49.6,47.1,68.96,6,3,3,0,0
21.0,7,2.8,1.62,52.4,48.72,69.41,0,3,0,0,0
22.0,7,2.84,0.0,55.24,48.72,70.03,0,2,0,0,0
23.0,7,2.88,0.0,58.12,48.72,70.03,4,2,2,0,1
24.0,7,2.92,3.72,61.04,52.44,70.03,6,4,3,0,1
25.0,7,2.96,3.78,64.0,56.22,71.45,7,2,3,0,1
26.0,7,3.0,4.09,67.0,60.31,72.89,12,3,3,0,1
27.0,7,3.0,3.98,70.0,64.29,74.43,8,2,3,0,1
28.0,7,3.0,3.89,73.0,68.18,75.92,5,3,3,0,1
29.0,7,3.0,3.58,76.0,71.76,77.38,10,2,3,0,1
30.0,7,3.0,3.41,79.0,75.17,78.71,6,4,3,0,1
31.0,7,3.0,3.71,82.0,78.88,79.97,7,3,3,0,1
32.0,7,3.0,3.03,85.0,81.91,81.34,6,3,3,0,1
33.0,7,3.0,2.93,88.0,84.84,82.46,7,4,1,0,1
34.0,7,3.0,3.49,91.0,88.33,83.53,4,3,0,0,1
35.0,7,3.0,3.32,94.0,91.65,84.8,7,3,3,0,1
36.0,7,3.0,3.55,97.0,95.2,86.0,7,2,3,0,1
37.0,7,3.0,3.05,100.0,98.25,87.29,2,3,0,0,1
38.0,7,3.0,3.01,103.0,101.26,88.38,8,3,3,0,1
39.0,7,3.0,2.72,106.0,103.98,89.46,6,4,2,0,1
40.0,7,3.0,3.55,109.0,107.53,90.43,6,3,3,0,1
41.0,7,3.0,2.71,112.0,110.24,91.69,7,2,3,0,1
42.0,7,3.0,2.9,115.0,113.14,92.65,8,2,2,0,1
43.0,7,3.0,3.13,118.0,116.27,93.68,8,2,3,0,1
44.0,7,3.0,2.81,121.0,119.08,94.78,4,2,0,0,1
45.0,7,3.0,3.25,124.0,122.33,95.76,7,2,3,0,1
46.0,7,3.0,3.11,127.0,125.44,96.9,6,3,2,0,1
47.0,7,3.0,3.66,130.0,129.1,97.98,6,4,3,0,1
48.0,7,3.0,3.3,133.0,132.4,99.25,8,4,3,0,1
49.0,7,3.0,3.61,136.0,136.01,100.38,8,2,2,0,1
50.0,7,3.0,3.02,139.0,139.03,101.62,5,4,2,0,1
51.0,7,3.0,2.79,142.0,141.82,102.65,4,3,2,0,1
52.0,7,3.0,2.89,145.0,144.71,103.6,7,2,3,0,1
53.0,7,3.0,3.47,148.0,148.18,104.58,9,2,2,0,1
54.0,7,3.0,2.79,151.0,150.97,105.76,6,3,3,0,1
55.0,7,3.0,3.0,154.0,153.97,106.7,6,2,3,0,1
