floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,11,2.0,1.78,2.0,1.78,51.7,0,4,0,0,0
1.0,11,2.0,1.91,4.0,3.69,52.35,3,2,1,0,0
2.0,11,2.04,2.15,6.04,5.84,53.04,7,2,3,0,0
3.0,11,2.08,1.78,8.12,7.62,53.82,4,3,2,0,0
4.0,11,2.12,1.65,10.24,9.27,54.46,11,4,3,0,0
5.0,11,2.16,2.16,12.4,11.43,55.05,10,2,3,0,0
6.0,11,2.2,2.48,14.6,13.91,55.83,7,3,3,0,0
7.0,11,2.24,2.51,16.84,16.42,56.72,5,2,2,0,0
8.0,11,2.28,2.16,19.12,18.58,57.62,13,2,3,0,0
9.0,11,2.32,1.99,21.44,20.57,58.39,9,3,3,0,0
10.0,11,2.36,2.42,23.8,22.99,59.1,10,3,3,0,0
11.0,11,2.4,2.47,26.2,25.46,59.95,3,4,0,0,0
12.0,11,2.44,2.34,28.64,27.8,60.83,7,3,3,0,0
13.0,11,2.48,2.57,31.12,30.37,61.65,1,2,0,0,0
14.0,11,2.52,2.28,33.64,32.65,62.56,7,3,3,0,0
15.0,11,2.56,2.56,36.2,35.21,63.36,4,4,2,1,0
16.0,11,2.6,1.15,38.8,36.36,64.25,5,5,0,0,0
17.0,11,2.64,2.97,41.44,39.33,64.65,3,2,2,1,1
18.0,11,2.68,1.42,44.12,40.75,65.69,4,6,3,1,2
19.0,11,2.72,1.92,46.84,42.67,66.18,4,5,2,1,3
20.0,11,2.76,1.77,49.6,44.44,66.85,5,4,2,1,4
21.0,11,2.8,1.98,52.4,46.42,67.46,7,4,2,0,4
22.0,11,2.84,3.37,55.24,49.79,68.14,7,2,3,0,5
23.0,11,2.88,3.13,58.12,52.92,69.3,7,2,2,0,5
24.0,11,2.92,2.97,61.04,55.89,70.38,8,3,3,0,5
25.0,11,2.96,3.68,64.0,59.57,71.39,5,4,1,0,5
26.0,11,3.0,3.15,67.0,62.72,72.64,8,2,3,0,5
27.0,11,3.0,3.08,70.0,65.8,73.71,4,2,0,0,5
28.0,11,3.0,3.34,73.0,69.14,74.75,6,4,3,0,5
29.0,11,3.0,3.46,76.0,72.6,75.87,10,3,3,0,5
30.0,11,3.0,3.49,79.0,76.09,77.03,6,4,3,0,5
31.0,11,3.0,2.91,82.0,79.0,78.2,5,4,3,0,5
32.0,11,3.0,3.07,85.0,82.07,79.17,7,2,3,0,5
33.0,11,3.0,3.64,88.0,85.71,80.18,5,4,1,0,5
34.0,11,3.0,3.19,91.0,88.9,81.39,6,2,1,0,5
35.0,11,3.0,3.28,94.0,92.18,82.44,4,4,2,0,5
36.0,11,3.0,3.21,97.0,95.39,83.51,4,3,1,1,5
37.0,11,3.0,1.71,100.0,97.1,84.56,5,5,3,1,6
38.0,11,3.0,1.93,103.0,99.03,85.11,4,4,1,1,7
39.0,11,3.0,2.43,106.0,101.46,85.74,2,5,1,1,8
40.0,11,3.0,2.16,109.0,103.62,86.53,3,5,0,1,9
41.0,11,3.0,2.52,112.0,106.14,87.23,6,5,0,1,10
42.0,11,3.0,1.72,115.0,107.86,88.04,4,4,3,1,11
43.0,11,3.0,1.61,118.0,109.47,88.59,4,5,3,0,12
44.0,11,3.0,3.29,121.0,112.76,89.11,6,4,2,0,12
45.0,11,3.0,3.35,124.0,116.11,90.16,6,4,2,0,12
46.0,11,3.0,3.74,127.0,119.85,91.23,5,4,2,0,12
47.0,11,3.0,3.25,130.0,123.1,92.41,8,3,3,0,12
48.0,11,3.0,3.87,133.0,126.97,93.44,9,2,3,0,12
49.0,11,3.0,3.11,136.0,130.08,94.66,2,2,2,0,12
50.0,11,3.0,3.94,139.0,134.02,95.63,8,3,3,0,12
51.0,11,3.0,3.21,142.0,137.23,96.86,5,3,3,0,12
52.0,11,3.0,2.95,145.0,140.18,97.86,9,4,3,0,12
53.0,11,3.0,3.13,148.0,143.31,98.78,3,2,1,0,12
54.0,11,3.0,3.5,151.0,146.81,99.74,5,3,3,0,12
55.0,11,3.0,2.84,154.0,149.65,100.82,3,3,3,0,12
