floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,3,2.0,1.64,2.0,1.64,50.68,0,3,0,0,0
1.0,3,2.0,2.37,4.0,4.01,51.31,5,3,3,0,0
2.0,3,2.04,1.89,6.04,5.9,52.21,3,2,0,0,0
3.0,3,2.08,1.73,8.12,7.63,52.93,6,2,1,0,0
4.0,3,2.12,2.36,10.24,9.99,53.58,3,3,3,0,0
5.0,3,2.16,1.89,12.4,11.88,54.47,9,2,3,0,0
6.0,3,2.2,1.86,14.6,13.74,55.19,5,4,3,0,0
7.0,3,2.24,2.16,16.84,15.9,55.89,6,2,3,0,0
8.0,3,2.28,2.23,19.12,18.13,56.7,7,3,2,0,0
9.0,3,2.32,2.16,21.44,20.29,57.53,12,4,3,0,0
10.0,3,2.36,2.43,23.8,22.72,58.34,7,4,3,0,0
11.0,3,2.4,2.79,26.2,25.51,59.24,8,3,3,0,0
12.0,3,2.44,2.06,28.64,27.57,60.28,3,4,3,0,0
13.0,3,2.48,2.0,31.12,29.57,61.04,4,4,0,0,0
14.0,3,2.52,2.45,33.64,32.02,61.78,6,2,2,0,0
15.0,3,2.56,2.34,36.2,34.36,62.68,3,2,0,1,0
16.0,3,2.6,0.93,38.8,35.29,63.54,3,4,1,0,0
17.0,3,2.64,2.56,41.44,37.85,63.88,6,3,1,1,1
18.0,3,2.68,1.63,44.12,39.48,64.81,3,4,1,1,2
19.0,3,2.72,1.14,46.84,40.62,65.41,3,4,1,1,3
20.0,3,2.76,1.33,49.6,41.95,65.82,8,5,3,0,3
21.0,3,2.8,3.32,52.4,45.27,66.31,4,2,2,1,4
22.0,3,2.84,1.06,55.24,46.33,67.51,8,5,3,0,5
23.0,3,2.88,3.29,58.12,49.62,67.89,5,2,3,0,5
24.0,3,2.92,3.17,61.04,52.79,69.08,8,4,3,0,5
25.0,3,2.96,3.53,64.0,56.32,70.22,6,4,2,0,5
26.0,3,3.0,2.98,67.0,59.3,71.48,7,2,3,0,5
27.0,3,3.0,3.38,70.0,62.68,72.54,8,3,3,0,5
28.0,3,3.0,3.15,73.0,65.83,73.74,7,2,3,0,5
29.0,3,3.0,3.1,76.0,68.93,74.86,7,3,3,0,5
30.0,3,3.0,3.14,79.0,72.07,75.95,4,2,3,0,5
31.0,3,3.0,2.83,82.0,74.9,77.05,6,2,2,0,5
32.0,3,3.0,3.17,85.0,78.07,78.04,11,4,3,0,5
33.0,3,3.0,3.11,88.0,81.18,79.14,6,4,3,0,5
34.0,3,3.0,2.98,91.0,84.16,80.22,6,2,2,0,5
35.0,3,3.0,2.81,94.0,86.97,81.25,7,3,3,0,5
36.0,3,3.0,3.28,97.0,90.25,82.22,2,2,1,1,5
37.0,3,3.0,1.8,100.0,92.05,83.35,8,5,2,0,5
38.0,3,3.0,3.92,103.0,95.97,83.96,4,4,2,1,6
39.0,3,3.0,2.34,106.0,98.31,85.3,8,4,2,0,6
40.0,3,3.0,3.44,109.0,101.75,86.09,6,4,2,1,7
41.0,3,3.0,2.3,112.0,104.05,87.26,6,4,2,0,7
42.0,3,3.0,3.37,115.0,107.42,88.04,2,3,2,1,8
43.0,3,3.0,2.25,118.0,109.67,89.17,7,5,2,0,9
44.0,3,3.0,4.07,121.0,113.74,89.92,6,3,1,0,9
45.0,3,3.0,3.31,124.0,117.05,91.28,7,3,3,0,9
46.0,3,3.0,3.73,127.0,120.78,92.38,6,2,3,0,9
47.0,3,3.0,3.63,130.0,124.41,93.62,10,2,3,0,9
48.0,3,3.0,3.46,133.0,127.87,94.81,10,3,3,0,9
49.0,3,3.0,3.05,136.0,130.92,95.95,8,3,3,0,9
50.0,3,3.0,3.71,139.0,134.63,96.94,7,4,2,0,9
51.0,3,3.0,3.05,142.0,137.68,98.15,3,2,2,0,9
52.0,3,3.0,3.53,145.0,141.21,99.14,5,3,3,0,9
53.0,3,3.0,3.32,148.0,144.53,100.28,5,4,3,0,9
54.0,3,3.0,3.64,151.0,148.17,101.35,7,4,3,0,9
55.0,3,3.0,3.26,154.0,151.43,102.51,9,3,3,0,9
