floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,7,2.0,2.04,2.0,2.04,49.67,0,2,0,0,0
1.0,7,2.0,1.78,4.0,3.82,50.51,10,3,3,0,0
2.0,7,2.04,1.63,6.04,5.45,51.24,5,4,3,0,0
3.0,7,2.08,2.56,8.12,8.01,51.91,8,2,2,0,0
4.0,7,2.12,2.2,10.24,10.21,52.96,11,3,3,0,0
5.0,7,2.16,2.61,12.4,12.82,53.86,5,3,3,0,0
6.0,7,2.2,2.52,14.6,15.34,54.92,6,3,3,0,0
7.0,7,2.24,2.45,16.84,17.79,55.94,8,2,2,0,0
8.0,7,2.28,2.11,19.12,19.9,56.93,6,4,3,0,0
9.0,7,2.32,2.35,21.44,22.25,57.78,8,3,3,0,0
10.0,7,2.36,2.54,23.8,24.79,58.73,6,4,3,0,0
11.0,7,2.4,2.24,26.2,27.03,59.74,5,2,3,0,0
12.0,7,2.44,2.29,28.64,29.32,60.64,7,3,3,0,0
13.0,7,2.48,2.26,31.12,31.58,61.55,7,2,3,0,0
14.0,7,2.52,2.32,33.64,33.9,62.45,7,2,3,0,0
15.0,7,2.56,2.57,36.2,36.47,63.36,3,3,1,1,0
16.0,7,2.6,1.2,38.8,37.67,64.38,7,5,3,0,0
17.0,7,2.64,3.27,41.44,40.94,64.85,3,2,3,1,1
18.0,7,2.68,1.7,44.12,42.64,66.13,8,5,3,1,2
19.0,7,2.72,1.64,46.84,44.28,66.8,1,4,1,1,3
20.0,7,2.76,1.24,49.6,45.52,67.44,7,6,3,0,3
21.0,7,2.8,3.12,52.4,48.64,67.92,3,3,2,1,4
22.0,7,2.84,1.8,55.24,50.44,69.13,7,4,3,0,4
23.0,7,2.88,3.63,58.12,54.07,69.83,4,4,3,0,5
24.0,7,2.92,3.13,61.04,57.2,71.23,7,2,1,0,5
25.0,7,2.96,3.61,64.0,60.81,72.43,11,4,3,0,5
26.0,7,3.0,2.88,67.0,63.69,73.81,5,2,3,0,5
27.0,7,3.0,3.35,70.0,67.04,74.91,6,3,3,0,5
28.0,7,3.0,3.38,73.0,70.42,76.18,6,2,3,0,5
29.0,7,3.0,2.76,76.0,73.18,77.45,2,4,1,0,5
30.0,7,3.0,2.87,79.0,76.05,78.49,5,3,3,0,5
31.0,7,3.0,3.11,82.0,79.16,79.57,7,3,3,0,5
32.0,7,3.0,3.61,85.0,82.77,80.73,9,4,3,0,5
33.0,7,3.0,2.82,88.0,85.59,82.07,8,3,2,0,5
34.0,7,3.0,2.82,91.0,88.41,83.11,5,3,1,0,5
35.0,7,3.0,3.46,94.0,91.87,84.15,9,4,3,0,5
36.0,7,3.0,3.34,97.0,95.21,85.42,4,2,1,1,5
37.0,7,3.0,2.26,100.0,97.47,86.64,5,4,2,0,5
38.0,7,3.0,3.74,103.0,101.21,87.47,2,4,1,1,6
39.0,7,3.0,1.99,106.0,103.2,88.82,2,5,1,1,7
40.0,7,3.0,2.04,109.0,105.24,89.54,5,6,1,1,8
41.0,7,3.0,2.11,112.0,107.35,90.28,5,6,3,1,9
42.0,7,3.0,1.96,115.0,109.31,91.04,6,5,3,0,9
43.0,7,3.0,3.93,118.0,113.24,91.74,9,4,3,0,10
44.0,7,3.0,3.09,121.0,116.33,93.14,5,2,3,0,10
45.0,7,3.0,3.77,124.0,120.1,94.24,6,4,3,0,10
46.0,7,3.0,3.76,127.0,123.86,95.58,1,4,0,0,10
47.0,7,3.0,3.38,130.0,127.24,96.9,6,4,3,0,10
48.0,7,3.0,3.21,133.0,130.45,98.09,6,2,2,0,10
49.0,7,3.0,3.55,136.0,134.0,99.21,8,3,3,0,10
50.0,7,3.0,3.39,139.0,137.39,100.44,4,3,1,0,10
51.0,7,3.0,3.69,142.0,141.08,101.61,5,4,1,0,10
52.0,7,3.0,2.98,145.0,144.06,102.88,4,2,1,0,10
53.0,7,3.0,2.77,148.0,146.83,103.91,7,2,3,0,10
54.0,7,3.0,3.68,151.0,150.51,104.85,4,2,3,0,10
55.0,7,3.0,2.87,154.0,153.38,106.11,6,4,3,0,10
