floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,15,2.0,1.84,2.0,1.84,48.34,0,2,0,0,0
1.0,15,2.0,1.81,4.0,3.65,49.01,3,2,2,0,0
2.0,15,2.04,2.26,6.04,5.91,49.66,7,3,3,0,0
3.0,15,2.08,2.08,8.12,7.99,50.47,11,4,3,0,0
4.0,15,2.12,1.7,10.24,9.69,51.22,7,2,3,0,0
5.0,15,2.16,1.72,12.4,11.41,51.83,5,4,1,0,0
6.0,15,2.2,2.31,14.6,13.72,52.45,7,2,2,0,0
7.0,15,2.24,2.01,16.84,15.73,53.27,6,3,3,0,0
8.0,15,2.28,2.45,19.12,18.18,53.99,8,4,3,0,0
9.0,15,2.32,2.47,21.44,20.65,54.86,11,4,1,0,0
10.0,15,2.36,2.26,23.8,22.91,55.73,4,2,3,0,0
11.0,15,2.4,2.27,26.2,25.18,56.53,5,4,3,775,0
12.0,15,2.44,2.08,28.64,27.26,57.33,5,3,3,930,0
13.0,15,2.48,1.66,31.12,28.92,58.06,4,3,2,1169,0
14.0,15,2.52,1.14,33.64,30.06,58.64,5,4,1,1135,0
15.0,15,2.56,1.88,36.2,31.94,59.04,4,3,3,0,0
16.0,15,2.6,1.68,38.8,33.62,59.7,4,4,2,2732,0
17.0,15,2.64,1.0,41.44,34.62,60.28,5,2,3,1255,0
18.0,15,2.68,1.91,44.12,36.53,60.63,5,2,1,0,0
19.0,15,2.72,1.15,46.84,37.68,61.3,6,2,3,0,0
20.0,15,2.76,1.95,49.6,39.63,61.7,4,3,3,0,0
21.0,15,2.8,1.89,52.4,41.52,62.37,3,4,0,995,0
22.0,15,2.84,1.9,55.24,43.42,63.02,1,4,0,1352,0
23.0,15,2.88,1.57,58.12,44.99,63.68,8,3,3,0,0
24.0,15,2.92,1.5,61.04,46.49,64.22,2,4,1,1172,0
25.0,15,2.96,1.37,64.0,47.86,64.73,4,2,3,940,0
26.0,15,3.0,1.8,67.0,49.66,65.2,5,3,3,0,0
27.0,15,3.0,2.03,70.0,51.69,65.82,6,4,2,0,0
28.0,15,3.0,2.1,73.0,53.79,66.51,4,2,1,0,0
29.0,15,3.0,4.77,76.0,58.56,67.23,5,2,2,0,0
30.0,15,3.0,3.98,79.0,62.54,68.85,6,4,3,0,0
31.0,15,3.0,4.53,82.0,67.07,70.19,6,3,2,0,0
32.0,15,3.0,3.56,85.0,70.63,71.72,6,4,3,0,0
33.0,15,3.0,3.97,88.0,74.6,72.91,4,3,3,0,0
34.0,15,3.0,3.41,91.0,78.01,74.23,8,2,3,0,0
35.0,15,3.0,4.08,94.0,82.09,75.36,8,4,3,0,0
36.0,15,3.0,3.58,97.0,85.67,76.71,3,3,2,0,0
37.0,15,3.0,3.64,100.0,89.31,77.88,4,4,2,0,0
38.0,15,3.0,3.36,103.0,92.67,79.07,10,2,3,0,0
39.0,15,3.0,3.9,106.0,96.57,80.17,8,2,3,0,0
40.0,15,3.0,3.61,109.0,100.18,81.44,4,2,1,0,0
41.0,15,3.0,3.31,112.0,103.49,82.6,8,2,3,0,0
42.0,15,3.0,3.78,115.0,107.27,83.67,9,2,3,0,0
43.0,15,3.0,3.48,118.0,110.75,84.88,6,3,3,0,0
44.0,15,3.0,3.59,121.0,114.34,85.99,6,2,3,0,0
45.0,15,3.0,3.43,124.0,117.77,87.13,9,4,3,0,0
46.0,15,3.0,3.77,127.0,121.54,88.22,4,3,2,0,0
47.0,15,3.0,2.82,130.0,124.36,89.41,10,2,3,0,0
48.0,15,3.0,3.56,133.0,127.92,90.29,7,2,3,0,0
49.0,15,3.0,3.02,136.0,130.94,91.41,5,3,3,0,0
50.0,15,3.0,3.16,139.0,134.1,92.35,10,2,3,0,0
51.0,15,3.0,3.43,142.0,137.53,93.33,6,2,2,0,0
52.0,15,3.0,3.47,145.0,141.0,94.39,9,3,3,0,0
53.0,15,3.0,3.41,148.0,144.41,95.46,10,2,3,0,0
54.0,15,3.0,3.14,151.0,147.55,96.51,6,2,1,0,0
55.0,15,3.0,3.1,154.0,150.65,97.47,7,2,1,0,0
