floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,3,2.0,2.31,2.0,2.31,49.61,0,4,0,0,0
1.0,3,2.0,2.14,4.0,4.45,50.55,7,2,3,0,0
2.0,3,2.04,1.82,6.04,6.27,51.41,3,3,2,0,0
3.0,3,2.08,2.19,8.12,8.46,52.14,4,2,3,0,0
4.0,3,2.12,2.22,10.24,10.68,53.02,8,2,3,0,0
5.0,3,2.16,2.62,12.4,13.3,53.91,3,4,2,0,0
6.0,3,2.2,1.74,14.6,15.04,54.96,6,4,2,0,0
7.0,3,2.24,2.07,16.84,17.11,55.66,5,3,2,0,0
8.0,3,2.28,2.77,19.12,19.88,56.48,8,2,3,0,0
9.0,3,2.32,2.64,21.44,22.52,57.58,3,3,1,0,0
10.0,3,2.36,2.33,23.8,24.85,58.62,5,3,3,0,0
11.0,3,2.4,1.9,26.2,26.75,59.54,2,2,1,775,0
12.0,3,2.44,1.82,28.64,28.57,60.28,5,4,3,1048,0
13.0,3,2.48,1.18,31.12,29.75,61.0,7,2,3,1135,0
14.0,3,2.52,1.74,33.64,31.49,61.46,3,4,1,0,0
15.0,3,2.56,1.36,36.2,32.85,62.14,4,4,1,1435,0
16.0,3,2.6,1.42,38.8,34.27,62.67,4,4,0,1075,0
17.0,3,2.64,1.79,41.44,36.06,63.22,4,2,2,835,0
18.0,3,2.68,1.48,44.12,37.54,63.92,6,3,3,0,0
19.0,3,2.72,1.15,46.84,38.69,64.49,5,2,3,819,0
20.0,3,2.76,1.59,49.6,40.28,64.93,6,2,3,0,0
21.0,3,2.8,1.31,52.4,41.59,65.55,6,4,3,634,0
22.0,3,2.84,1.35,55.24,42.94,66.05,4,3,0,0,0
23.0,3,2.88,1.75,58.12,44.69,66.57,2,3,2,819,0
24.0,3,2.92,1.9,61.04,46.59,67.25,5,4,3,0,0
25.0,3,2.96,1.22,64.0,47.81,67.97,5,2,3,0,0
26.0,3,3.0,1.19,67.0,49.0,68.44,6,4,2,0,0
27.0,3,3.0,4.06,70.0,53.06,68.9,8,2,3,0,0
28.0,3,3.0,4.57,73.0,57.63,70.44,8,3,3,0,0
29.0,3,3.0,4.04,76.0,61.67,72.17,7,3,3,0,0
30.0,3,3.0,4.33,79.0,66.0,73.69,9,2,3,0,0
31.0,3,3.0,4.07,82.0,70.07,75.32,3,2,1,0,0
32.0,3,3.0,3.79,85.0,73.86,76.83,4,3,1,0,0
33.0,3,3.0,3.94,88.0,77.8,78.24,5,4,2,0,0
34.0,3,3.0,3.94,91.0,81.74,79.69,3,4,1,0,0
35.0,3,3.0,4.1,94.0,85.84,81.14,11,3,3,0,0
36.0,3,3.0,3.78,97.0,89.62,82.64,11,2,3,0,0
37.0,3,3.0,3.21,100.0,92.83,84.01,9,2,3,0,0
38.0,3,3.0,3.84,103.0,96.67,85.17,6,2,3,0,0
39.0,3,3.0,3.34,106.0,100.01,86.56,3,3,3,0,0
40.0,3,3.0,3.44,109.0,103.45,87.76,10,3,3,0,0
41.0,3,3.0,3.36,112.0,106.81,88.99,8,2,2,0,0
42.0,3,3.0,3.57,115.0,110.38,90.18,9,3,3,0,0
43.0,3,3.0,3.04,118.0,113.42,91.45,5,3,0,0,0
44.0,3,3.0,3.56,121.0,116.98,92.52,4,4,1,0,0
45.0,3,3.0,3.56,124.0,120.54,93.77,5,3,1,0,0
46.0,3,3.0,3.47,127.0,124.01,95.02,6,4,3,0,0
47.0,3,3.0,3.08,130.0,127.09,96.23,6,3,2,0,0
48.0,3,3.0,3.66,133.0,130.75,97.29,7,3,3,0,0
49.0,3,3.0,2.72,136.0,133.47,98.56,9,2,3,0,0
50.0,3,3.0,3.65,139.0,137.12,99.49,6,3,3,0,0
51.0,3,3.0,3.61,142.0,140.73,100.74,10,3,3,0,0
52.0,3,3.0,2.96,145.0,143.69,101.98,5,3,3,0,0
53.0,3,3.0,3.49,148.0,147.18,102.98,5,2,2,0,0
54.0,3,3.0,3.57,151.0,150.75,104.16,8,3,3,0,0
55.0,3,3.0,3.33,154.0,154.08,105.37,10,4,3,0,0
