floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,19,2.0,2.38,2.0,2.38,47.59,0,3,0,0,0
1.0,19,2.0,2.29,4.0,4.67,48.5,6,3,2,0,0
2.0,19,2.04,2.38,6.04,7.05,49.38,7,3,1,0,0
3.0,19,2.08,2.44,8.12,9.49,50.29,5,3,3,0,0
4.0,19,2.12,2.3,10.24,11.79,51.22,4,2,2,0,0
5.0,19,2.16,2.35,12.4,14.14,52.09,2,2,1,0,0
6.0,19,2.2,2.31,14.6,16.45,52.98,6,2,3,0,0
7.0,19,2.24,2.17,16.84,18.62,53.85,6,4,3,0,0
8.0,19,2.28,2.27,19.12,20.89,54.67,7,4,2,0,0
9.0,19,2.32,2.74,21.44,23.63,55.52,8,2,3,0,0
10.0,19,2.36,2.52,23.8,26.15,56.55,4,2,0,0,0
11.0,19,2.4,2.45,26.2,28.6,57.49,4,3,2,535,0
12.0,19,2.44,1.94,28.64,30.54,58.4,5,4,3,2016,0
13.0,19,2.48,1.17,31.12,31.71,59.12,1,4,0,955,0
14.0,19,2.52,1.2,33.64,32.91,59.55,5,2,3,0,0
15.0,19,2.56,1.5,36.2,34.41,60.0,4,2,2,2129,0
16.0,19,2.6,1.56,38.8,35.97,60.55,4,2,1,895,0
17.0,19,2.64,0.97,41.44,36.94,61.12,2,2,1,835,0
18.0,19,2.68,1.1,44.12,38.04,61.48,8,4,3,0,0
19.0,19,2.72,1.65,46.84,39.69,61.89,5,2,0,941,0
20.0,19,2.76,1.85,49.6,41.54,62.49,6,3,3,0,0
21.0,19,2.8,1.59,52.4,43.13,63.17,3,4,1,700,0
22.0,19,2.84,1.7,55.24,44.83,63.75,4,3,1,0,0
23.0,19,2.88,1.35,58.12,46.18,64.37,10,4,3,0,0
24.0,19,2.92,1.85,61.04,48.03,64.86,7,4,3,0,0
25.0,19,2.96,1.92,64.0,49.95,65.53,4,3,1,929,0
26.0,19,3.0,2.03,67.0,51.98,66.23,7,4,3,0,0
27.0,19,3.0,1.95,70.0,53.93,66.96,10,2,3,0,0
28.0,19,3.0,1.78,73.0,55.71,67.67,3,4,2,0,0
29.0,19,3.0,1.81,76.0,57.52,68.31,8,2,3,0,0
30.0,19,3.0,1.85,79.0,59.37,68.96,5,4,3,0,0
31.0,19,3.0,4.64,82.0,64.01,69.62,7,3,2,0,0
32.0,19,3.0,3.68,85.0,67.69,71.28,4,2,1,0,0
33.0,19,3.0,4.45,88.0,72.14,72.58,7,4,2,0,0
34.0,19,3.0,4.39,91.0,76.53,74.16,6,4,2,0,0
35.0,19,3.0,3.84,94.0,80.37,75.7,6,4,3,0,0
36.0,19,3.0,4.23,97.0,84.6,77.05,6,3,3,0,0
37.0,19,3.0,3.33,100.0,87.93,78.52,4,3,1,0,0
38.0,19,3.0,3.73,103.0,91.66,79.67,4,4,2,0,0
39.0,19,3.0,3.31,106.0,94.97,80.96,5,4,2,0,0
40.0,19,3.0,3.31,109.0,98.28,82.1,3,4,1,0,0
41.0,19,3.0,3.34,112.0,101.62,83.23,3,4,1,0,0
42.0,19,3.0,3.19,115.0,104.81,84.37,3,4,2,0,0
43.0,19,3.0,3.7,118.0,108.51,85.45,6,2,2,0,0
44.0,19,3.0,3.23,121.0,111.74,86.7,6,4,3,0,0
45.0,19,3.0,3.04,124.0,114.78,87.79,8,4,2,0,0
46.0,19,3.0,3.57,127.0,118.35,88.81,7,2,3,0,0
47.0,19,3.0,3.86,130.0,122.21,90.01,6,3,1,0,0
48.0,19,3.0,3.1,133.0,125.31,91.29,5,3,2,0,0
49.0,19,3.0,3.42,136.0,128.73,92.32,5,4,3,0,0
50.0,19,3.0,2.98,139.0,131.71,93.45,5,4,1,0,0
51.0,19,3.0,3.22,142.0,134.93,94.43,8,3,3,0,0
52.0,19,3.0,3.28,145.0,138.21,95.48,9,3,3,0,0
53.0,19,3.0,3.57,148.0,141.78,96.55,6,2,3,0,0
54.0,19,3.0,2.92,151.0,144.7,97.71,2,4,2,0,0
55.0,19,3.0,3.75,154.0,148.45,98.66,5,2,2,0,0
