floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,8,2.0,2.49,2.0,2.49,51.78,0,2,0,0,0
1.0,8,2.0,1.96,4.0,4.45,52.72,4,4,3,0,0
2.0,8,2.04,2.01,6.04,6.46,53.46,5,2,3,0,0
3.0,8,2.08,2.35,8.12,8.81,54.22,5,4,1,0,0
4.0,8,2.12,1.88,10.24,10.69,55.1,5,2,2,0,0
5.0,8,2.16,2.02,12.4,12.71,55.81,7,4,2,0,0
6.0,8,2.2,2.17,14.6,14.88,56.56,7,3,3,0,0
7.0,8,2.24,2.25,16.84,17.13,57.37,8,4,2,0,0
8.0,8,2.28,1.8,19.12,18.93,58.21,3,2,3,0,0
9.0,8,2.32,2.57,21.44,21.5,58.87,8,2,2,0,0
10.0,8,2.36,2.4,23.8,23.9,59.83,6,4,3,0,0
11.0,8,2.4,1.9,26.2,25.8,60.71,3,3,3,1015,0
12.0,8,2.44,2.27,28.64,28.07,61.41,4,4,1,1887,0
13.0,8,2.48,1.36,31.12,29.43,62.24,5,3,3,1135,0
14.0,8,2.52,1.52,33.64,30.95,62.74,4,3,2,578,0
15.0,8,2.56,1.09,36.2,32.04,63.3,3,4,1,775,0
16.0,8,2.6,1.39,38.8,33.43,63.7,7,4,3,0,0
17.0,8,2.64,1.27,41.44,34.7,64.2,2,2,1,1135,0
18.0,8,2.68,1.93,44.12,36.63,64.66,6,2,3,0,0
19.0,8,2.72,1.72,46.84,38.35,65.37,8,3,3,0,0
20.0,8,2.76,1.94,49.6,40.29,65.99,4,3,3,1233,0
21.0,8,2.8,1.25,52.4,41.54,66.69,7,3,3,0,0
22.0,8,2.84,1.86,55.24,43.4,67.14,8,4,2,0,0
23.0,8,2.88,1.46,58.12,44.86,67.81,8,3,3,0,0
24.0,8,2.92,1.19,61.04,46.05,68.34,7,3,3,0,0
25.0,8,2.96,1.86,64.0,47.91,68.77,2,4,2,579,0
26.0,8,3.0,1.27,67.0,49.18,69.43,7,3,2,0,0
27.0,8,3.0,1.71,70.0,50.89,69.89,4,3,1,0,0
28.0,8,3.0,1.39,73.0,52.28,70.5,3,2,1,0,0
29.0,8,3.0,4.22,76.0,56.5,70.99,6,2,3,0,0
30.0,8,3.0,3.94,79.0,60.44,72.49,5,4,3,0,0
31.0,8,3.0,4.66,82.0,65.1,73.89,7,3,3,0,0
32.0,8,3.0,4.08,85.0,69.18,75.52,6,2,3,0,0
33.0,8,3.0,3.62,88.0,72.8,76.95,8,2,3,0,0
34.0,8,3.0,3.41,91.0,76.21,78.21,7,4,3,0,0
35.0,8,3.0,3.49,94.0,79.7,79.4,5,3,3,0,0
36.0,8,3.0,4.29,97.0,83.99,80.6,5,2,1,0,0
37.0,8,3.0,3.96,100.0,87.95,82.08,2,3,2,0,0
38.0,8,3.0,3.89,103.0,91.84,83.43,2,3,2,0,0
39.0,8,3.0,3.19,106.0,95.03,84.76,6,3,3,0,0
40.0,8,3.0,3.29,109.0,98.32,85.84,3,2,1,0,0
41.0,8,3.0,3.5,112.0,101.82,86.95,9,3,3,0,0
42.0,8,3.0,3.31,115.0,105.13,88.13,8,2,3,0,0
43.0,8,3.0,3.49,118.0,108.62,89.24,3,4,1,0,0
44.0,8,3.0,3.46,121.0,112.08,90.4,4,3,2,0,0
45.0,8,3.0,3.55,124.0,115.63,91.55,8,3,3,0,0
46.0,8,3.0,3.88,127.0,119.51,92.73,11,4,3,0,0
47.0,8,3.0,3.54,130.0,123.05,94.01,7,4,3,0,0
48.0,8,3.0,3.23,133.0,126.28,95.17,6,4,3,0,0
49.0,8,3.0,2.83,136.0,129.11,96.23,7,2,3,0,0
50.0,8,3.0,3.17,139.0,132.28,97.15,6,2,0,0,0
51.0,8,3.0,3.77,142.0,136.05,98.18,3,4,0,0,0
52.0,8,3.0,3.03,145.0,139.08,99.39,7,3,3,0,0
53.0,8,3.0,3.65,148.0,142.73,100.37,4,4,2,0,0
54.0,8,3.0,3.68,151.0,146.41,101.54,5,3,3,0,0
55.0,8,3.0,3.67,154.0,150.08,102.71,5,4,1,0,0
