floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,13,2.0,2.13,2.0,2.13,49.47,0,3,0,0,0
1.0,13,2.0,2.09,4.0,4.22,50.32,5,2,3,0,0
2.0,13,2.04,2.16,6.04,6.38,51.14,4,4,3,0,0
3.0,13,2.08,1.9,8.12,8.28,52.0,1,4,1,0,0
4.0,13,2.12,2.17,10.24,10.45,52.74,8,4,3,0,0
5.0,13,2.16,2.09,12.4,12.54,53.6,4,2,3,0,0
6.0,13,2.2,2.0,14.6,14.54,54.42,4,3,1,0,0
7.0,13,2.24,2.53,16.84,17.07,55.2,4,3,1,0,0
8.0,13,2.28,2.03,19.12,19.1,56.18,6,3,3,0,0
9.0,13,2.32,2.07,21.44,21.17,56.97,9,3,3,0,0
10.0,13,2.36,2.45,23.8,23.62,57.77,7,4,3,0,0
11.0,13,2.4,2.69,26.2,26.31,58.72,7,2,3,0,0
12.0,13,2.44,2.31,28.64,28.62,59.76,9,2,2,0,0
13.0,13,2.48,2.63,31.12,31.25,60.64,5,3,2,0,0
14.0,13,2.52,2.74,33.64,33.99,61.65,6,2,3,0,0
15.0,13,2.56,2.33,36.2,36.32,62.7,5,3,3,0,0
16.0,13,2.6,2.18,38.8,38.5,63.58,7,2,3,0,0
17.0,13,2.64,2.99,41.44,41.49,64.41,6,2,2,0,0
18.0,13,2.68,2.34,44.12,43.83,65.54,8,4,2,0,0
19.0,13,2.72,3.11,46.84,46.94,66.42,6,4,3,0,0
20.0,13,2.76,2.35,49.6,49.29,67.59,5,4,2,0,0
21.0,13,2.8,2.91,52.4,52.2,68.47,8,4,2,0,0
22.0,13,2.84,3.09,55.24,55.29,69.55,10,4,3,0,0
23.0,13,2.88,2.74,58.12,58.03,70.7,5,3,2,0,0
24.0,13,2.92,2.63,61.04,60.66,71.72,10,2,3,0,0
25.0,13,2.96,2.66,64.0,63.32,72.69,7,3,3,0,0
26.0,13,3.0,2.52,67.0,65.84,73.67,7,4,2,0,0
27.0,13,3.0,2.89,70.0,68.73,74.59,5,4,3,0,0
28.0,13,3.0,3.34,73.0,72.07,75.65,5,4,0,0,0
29.0,13,3.0,3.2,76.0,75.27,76.86,7,4,3,0,0
30.0,13,3.0,3.03,79.0,78.3,78.02,6,4,3,0,0
31.0,13,3.0,2.77,82.0,81.07,79.12,5,4,1,0,0
32.0,13,3.0,3.15,85.0,84.22,80.11,8,3,3,0,0
33.0,13,3.0,3.32,88.0,87.54,81.24,7,3,3,0,0
34.0,13,3.0,2.88,91.0,90.42,82.43,7,4,3,0,0
35.0,13,3.0,3.3,94.0,93.72,83.45,6,3,3,0,0
36.0,13,3.0,2.65,97.0,96.37,84.62,4,4,1,0,0
37.0,13,3.0,3.34,100.0,99.71,85.55,4,3,2,0,0
38.0,13,3.0,3.12,103.0,102.83,86.73,7,3,3,0,0
39.0,13,3.0,2.91,106.0,105.74,87.82,6,4,3,0,0
40.0,13,3.0,2.93,109.0,108.67,88.84,6,3,1,0,0
41.0,13,3.0,2.9,112.0,111.57,89.85,6,3,2,0,0
42.0,13,3.0,2.51,115.0,114.08,90.86,6,3,3,0,0
43.0,13,3.0,2.87,118.0,116.95,91.72,4,4,3,0,0
44.0,13,3.0,2.87,121.0,119.82,92.71,4,3,2,0,0
45.0,13,3.0,3.5,124.0,123.32,93.7,4,2,3,0,0
46.0,13,3.0,3.44,127.0,126.76,94.89,9,4,2,0,0
47.0,13,3.0,3.08,130.0,129.84,96.06,7,4,2,0,0
48.0,13,3.0,3.42,133.0,133.26,97.1,4,2,0,0,0
49.0,13,3.0,3.19,136.0,136.45,98.26,8,4,3,0,0
50.0,13,3.0,2.7,139.0,139.15,99.33,6,3,3,0,0
51.0,13,3.0,3.3,142.0,142.45,100.23,13,4,3,0,0
52.0,13,3.0,3.18,145.0,145.63,101.33,4,2,3,0,0
53.0,13,3.0,3.34,148.0,148.97,102.38,4,3,1,0,0
54.0,13,3.0,3.26,151.0,152.23,103.49,8,4,3,0,0
55.0,13,3.0,3.24,154.0,155.47,104.56,4,4,3,0,0
