floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,6,2.0,2.39,2.0,2.39,48.59,0,3,0,0,0
1.0,6,2.0,1.87,4.0,4.26,49.5,5,3,3,0,0
2.0,6,2.04,1.67,6.04,5.93,50.21,8,4,2,0,0
3.0,6,2.08,1.65,8.12,7.58,50.84,6,3,2,0,0
4.0,6,2.12,1.97,10.24,9.55,51.47,8,3,3,0,0
5.0,6,2.16,2.12,12.4,11.67,52.21,3,4,2,0,0
6.0,6,2.2,2.16,14.6,13.83,53.01,8,4,3,0,0
7.0,6,2.24,2.26,16.84,16.09,53.82,7,3,3,0,0
8.0,6,2.28,2.15,19.12,18.24,54.67,6,4,2,0,0
9.0,6,2.32,2.66,21.44,20.9,55.47,4,3,2,0,0
10.0,6,2.36,2.79,23.8,23.69,56.47,9,4,3,0,0
11.0,6,2.4,2.37,26.2,26.06,57.5,5,4,3,0,0
12.0,6,2.44,2.25,28.64,28.31,58.38,8,4,3,0,0
13.0,6,2.48,2.43,31.12,30.74,59.21,6,4,3,0,0
14.0,6,2.52,2.92,33.64,33.66,60.1,5,3,2,0,0
15.0,6,2.56,2.06,36.2,35.72,61.18,6,4,3,0,0
16.0,6,2.6,2.42,38.8,38.14,61.93,4,4,2,0,0
17.0,6,2.64,2.35,41.44,40.49,62.81,8,4,3,0,0
18.0,6,2.68,2.31,44.12,42.8,63.67,10,2,3,0,0
19.0,6,2.72,2.5,46.84,45.3,64.5,4,2,2,0,0
20.0,6,2.76,2.55,49.6,47.85,65.41,6,2,2,0,0
21.0,6,2.8,2.76,52.4,50.61,66.33,9,3,3,0,0
22.0,6,2.84,3.31,55.24,53.92,67.32,5,3,2,0,0
23.0,6,2.88,2.43,58.12,56.35,68.51,1,3,1,0,0
24.0,6,2.92,2.54,61.04,58.89,69.37,7,3,3,0,0
25.0,6,2.96,2.64,64.0,61.53,70.28,7,3,3,0,0
26.0,6,3.0,3.41,67.0,64.94,71.21,8,4,3,0,0
27.0,6,3.0,3.22,70.0,68.16,72.42,6,4,2,0,0
28.0,6,3.0,3.07,73.0,71.23,73.55,8,2,3,0,0
29.0,6,3.0,3.14,76.0,74.37,74.63,6,4,2,0,0
30.0,6,3.0,2.57,79.0,76.94,75.72,7,4,3,0,0
31.0,6,3.0,2.64,82.0,79.58,76.62,9,4,3,0,0
32.0,6,3.0,3.42,85.0,83.0,77.53,9,3,3,0,0
33.0,6,3.0,2.97,88.0,85.97,78.72,9,3,3,0,0
34.0,6,3.0,3.4,91.0,89.37,79.74,2,2,1,0,0
35.0,6,3.0,3.45,94.0,92.82,80.9,7,4,3,0,0
36.0,6,3.0,3.48,97.0,96.3,82.08,4,4,2,1,0
37.0,6,3.0,1.65,100.0,97.95,83.27,2,6,1,1,1
38.0,6,3.0,1.69,103.0,99.64,83.83,2,4,0,1,2
39.0,6,3.0,1.33,106.0,100.97,84.4,7,4,3,0,2
40.0,6,3.0,3.52,109.0,104.49,84.85,5,3,2,1,3
41.0,6,3.0,1.29,112.0,105.78,86.03,4,6,2,1,4
42.0,6,3.0,1.4,115.0,107.18,86.47,2,4,1,1,5
43.0,6,3.0,1.29,118.0,108.47,86.94,6,5,2,0,6
44.0,6,3.0,3.6,121.0,112.07,87.37,4,4,2,0,6
45.0,6,3.0,3.45,124.0,115.52,88.57,8,3,3,0,6
46.0,6,3.0,3.78,127.0,119.3,89.71,8,2,3,0,6
47.0,6,3.0,3.46,130.0,122.76,90.96,9,2,3,0,6
48.0,6,3.0,3.26,133.0,126.02,92.1,3,4,1,0,6
49.0,6,3.0,3.27,136.0,129.29,93.17,6,3,3,0,6
50.0,6,3.0,3.2,139.0,132.49,94.24,6,2,3,0,6
51.0,6,3.0,3.6,142.0,136.09,95.28,4,3,2,0,6
52.0,6,3.0,3.67,145.0,139.76,96.45,8,4,3,0,6
53.0,6,3.0,3.6,148.0,143.36,97.63,6,2,2,0,6
54.0,6,3.0,2.88,151.0,146.24,98.79,4,2,3,0,6
55.0,6,3.0,3.65,154.0,149.89,99.71,3,4,1,0,6
