floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,1,2.0,2.18,2.0,2.18,52.12,0,4,0,0,0
1.0,1,2.0,2.12,4.0,4.3,52.95,8,4,3,0,0
2.0,1,2.04,2.26,6.04,6.56,53.76,5,3,2,0,0
3.0,1,2.08,2.28,8.12,8.84,54.62,4,3,2,0,0
4.0,1,2.12,2.05,10.24,10.89,55.49,10,2,3,0,0
5.0,1,2.16,1.67,12.4,12.56,56.26,6,2,3,0,0
6.0,1,2.2,2.54,14.6,15.1,56.89,7,2,3,0,0
7.0,1,2.24,2.38,16.84,17.48,57.85,7,4,3,0,0
8.0,1,2.28,2.21,19.12,19.69,58.74,5,4,3,0,0
9.0,1,2.32,2.44,21.44,22.13,59.57,3,4,3,0,0
10.0,1,2.36,2.08,23.8,24.21,60.48,5,2,2,0,0
11.0,1,2.4,2.73,26.2,26.94,61.26,8,3,3,0,0
12.0,1,2.44,2.34,28.64,29.28,62.27,4,3,0,0,0
13.0,1,2.48,2.13,31.12,31.41,63.14,5,3,3,0,0
14.0,1,2.52,2.29,33.64,33.7,63.93,6,3,3,0,0
15.0,1,2.56,2.63,36.2,36.33,64.77,5,3,2,0,0
16.0,1,2.6,2.8,38.8,39.13,65.74,8,4,3,0,0
17.0,1,2.64,2.61,41.44,41.74,66.76,6,2,2,0,0
18.0,1,2.68,3.13,44.12,44.87,67.71,5,4,2,0,0
19.0,1,2.72,2.83,46.84,47.7,68.85,6,3,2,0,0
20.0,1,2.76,2.76,49.6,50.46,69.88,8,2,3,0,0
21.0,1,2.8,2.38,52.4,52.84,70.88,6,2,3,0,0
22.0,1,2.84,2.53,55.24,55.37,71.73,6,3,3,0,0
23.0,1,2.88,2.43,58.12,57.8,72.64,5,2,2,0,0
24.0,1,2.92,2.81,61.04,60.61,73.51,4,4,2,0,0
25.0,1,2.96,3.06,64.0,63.67,74.52,10,4,3,0,0
26.0,1,3.0,2.98,67.0,66.65,75.61,8,2,3,0,0
27.0,1,3.0,2.65,70.0,69.3,76.66,5,2,3,0,0
28.0,1,3.0,3.34,73.0,72.64,77.6,7,4,1,0,0
29.0,1,3.0,3.12,76.0,75.76,78.78,7,2,3,0,0
30.0,1,3.0,2.75,79.0,78.51,79.87,6,4,1,0,0
31.0,1,3.0,3.44,82.0,81.95,80.83,7,3,3,0,0
32.0,1,3.0,2.66,85.0,84.61,82.03,5,4,2,0,0
33.0,1,3.0,3.37,88.0,87.98,82.96,6,3,1,0,0
34.0,1,3.0,3.49,91.0,91.47,84.12,5,2,2,0,0
35.0,1,3.0,3.05,94.0,94.52,85.33,1,4,1,0,0
36.0,1,3.0,2.57,97.0,97.09,86.37,2,3,1,1,0
37.0,1,3.0,2.0,100.0,99.09,87.25,2,5,0,1,1
38.0,1,3.0,2.12,103.0,101.21,87.94,7,4,3,0,1
39.0,1,3.0,2.95,106.0,104.16,88.66,5,3,1,1,2
40.0,1,3.0,1.61,109.0,105.77,89.66,7,4,3,0,2
41.0,1,3.0,2.9,112.0,108.67,90.2,3,2,2,1,3
42.0,1,3.0,1.35,115.0,110.02,91.18,5,4,3,1,4
43.0,1,3.0,1.89,118.0,111.91,91.64,7,5,3,0,4
44.0,1,3.0,3.67,121.0,115.58,92.27,7,2,3,0,5
45.0,1,3.0,3.17,124.0,118.75,93.5,4,4,0,0,5
46.0,1,3.0,3.78,127.0,122.53,94.56,7,3,3,0,5
47.0,1,3.0,3.62,130.0,126.15,95.82,8,4,3,0,5
48.0,1,3.0,3.41,133.0,129.56,97.02,5,3,1,0,5
49.0,1,3.0,3.62,136.0,133.18,98.14,6,2,3,0,5
50.0,1,3.0,3.07,139.0,136.25,99.33,3,4,2,0,5
51.0,1,3.0,2.9,142.0,139.15,100.33,8,4,3,0,5
52.0,1,3.0,3.05,145.0,142.2,101.28,7,3,3,0,5
53.0,1,3.0,3.08,148.0,145.28,102.27,5,4,2,0,5
54.0,1,3.0,3.02,151.0,148.3,103.26,6,2,2,0,5
55.0,1,3.0,3.0,154.0,151.3,104.24,6,2,3,0,5
