floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,18,2.0,2.5,2.0,2.5,51.42,0,2,0,0,0
1.0,18,2.0,1.57,4.0,4.07,52.39,8,4,2,0,0
2.0,18,2.04,2.22,6.04,6.29,53.0,5,4,3,0,0
3.0,18,2.08,2.52,8.12,8.81,53.87,8,3,3,0,0
4.0,18,2.12,2.51,10.24,11.32,54.84,8,2,3,0,0
5.0,18,2.16,2.43,12.4,13.75,55.81,5,3,1,0,0
6.0,18,2.2,2.66,14.6,16.41,56.74,6,2,3,0,0
7.0,18,2.24,2.62,16.84,19.03,57.76,10,3,3,0,0
8.0,18,2.28,2.6,19.12,21.63,58.76,4,3,1,0,0
9.0,18,2.32,1.93,21.44,23.56,59.75,8,3,3,0,0
10.0,18,2.36,2.13,23.8,25.69,60.48,9,3,3,0,0
11.0,18,2.4,2.1,26.2,27.79,61.29,6,4,0,0,0
12.0,18,2.44,2.43,28.64,30.22,62.08,7,2,2,0,0
13.0,18,2.48,2.7,31.12,32.92,63.0,6,3,2,0,0
14.0,18,2.52,2.57,33.64,35.49,64.01,2,4,0,0,0
15.0,18,2.56,2.58,36.2,38.07,64.97,9,4,3,0,0
16.0,18,2.6,2.83,38.8,40.9,65.93,9,4,3,0,0
17.0,18,2.64,2.85,41.44,43.75,66.99,7,4,1,0,0
18.0,18,2.68,2.33,44.12,46.08,68.04,6,4,2,0,0
19.0,18,2.72,2.35,46.84,48.43,68.9,6,2,3,0,0
20.0,18,2.76,3.18,49.6,51.61,69.77,7,3,3,0,0
21.0,18,2.8,2.33,52.4,53.94,70.94,6,4,3,0,0
22.0,18,2.84,2.75,55.24,56.69,71.79,8,2,3,0,0
23.0,18,2.88,2.83,58.12,59.52,72.79,4,2,3,0,0
24.0,18,2.92,2.44,61.04,61.96,73.82,4,4,2,0,0
25.0,18,2.96,3.15,64.0,65.11,74.7,8,2,3,0,0
26.0,18,3.0,3.37,67.0,68.48,75.84,12,4,3,0,0
27.0,18,3.0,3.19,70.0,71.67,77.05,4,2,2,0,0
28.0,18,3.0,3.11,73.0,74.78,78.19,5,4,3,0,0
29.0,18,3.0,2.56,76.0,77.34,79.3,7,2,3,0,0
30.0,18,3.0,3.18,79.0,80.52,80.21,4,3,3,0,0
31.0,18,3.0,2.82,82.0,83.34,81.34,6,3,2,0,0
32.0,18,3.0,2.56,85.0,85.9,82.33,7,3,3,0,0
33.0,18,3.0,3.28,88.0,89.18,83.23,5,4,3,0,0
34.0,18,3.0,2.67,91.0,91.85,84.38,7,3,3,0,0
35.0,18,3.0,2.8,94.0,94.65,85.31,6,3,3,0,0
36.0,18,3.0,2.6,97.0,97.25,86.29,2,2,0,1,0
37.0,18,3.0,1.57,100.0,98.82,87.19,5,5,1,0,0
38.0,18,3.0,2.82,103.0,101.64,87.73,5,2,2,1,1
39.0,18,3.0,2.24,106.0,103.88,88.71,5,4,2,0,1
40.0,18,3.0,3.31,109.0,107.19,89.48,1,2,0,1,2
41.0,18,3.0,1.91,112.0,109.1,90.61,5,4,3,1,3
42.0,18,3.0,1.48,115.0,110.58,91.26,3,5,1,1,4
43.0,18,3.0,1.27,118.0,111.85,91.77,6,4,3,0,5
44.0,18,3.0,2.91,121.0,114.76,92.2,9,2,3,0,5
45.0,18,3.0,3.57,124.0,118.33,93.19,6,3,3,0,5
46.0,18,3.0,3.68,127.0,122.01,94.4,8,3,3,0,5
47.0,18,3.0,3.43,130.0,125.44,95.63,7,2,3,0,5
48.0,18,3.0,3.09,133.0,128.53,96.78,7,3,3,0,5
49.0,18,3.0,3.59,136.0,132.12,97.82,6,2,2,0,5
50.0,18,3.0,3.25,139.0,135.37,99.01,8,2,3,0,5
51.0,18,3.0,3.29,142.0,138.66,100.09,9,4,3,0,5
52.0,18,3.0,2.9,145.0,141.56,101.17,8,4,3,0,5
53.0,18,3.0,3.57,148.0,145.13,102.12,7,3,3,0,5
54.0,18,3.0,3.26,151.0,148.39,103.29,3,4,3,0,5
55.0,18,3.0,3.66,154.0,152.05,104.35,6,3,3,0,5
