floor(cycle / (24 * 60)),pig.id,pig.target_dfi,pig.dfi,pig.target_cfi,pig.cfi,pig.weight,pig.eat_count,pig.excrete_each_day,pig.excrete_count,pig.expose_count_per_day,pig.recover_count
0.0,12,2.0,2.47,2.0,2.47,50.72,0,4,0,0,0
1.0,12,2.0,1.89,4.0,4.36,51.68,6,2,3,0,0
2.0,12,2.04,2.11,6.04,6.47,52.41,5,4,3,0,0
3.0,12,2.08,1.97,8.12,8.44,53.23,4,4,3,0,0
4.0,12,2.12,2.36,10.24,10.8,53.98,6,2,1,0,0
5.0,12,2.16,1.88,12.4,12.68,54.89,7,4,3,0,0
6.0,12,2.2,2.7,14.6,15.38,55.61,5,4,2,0,0
7.0,12,2.24,2.51,16.84,17.89,56.64,5,3,3,0,0
8.0,12,2.28,2.35,19.12,20.24,57.6,9,4,3,0,0
9.0,12,2.32,1.97,21.44,22.21,58.49,6,3,3,0,0
10.0,12,2.36,2.08,23.8,24.29,59.24,8,2,2,0,0
11.0,12,2.4,2.5,26.2,26.79,60.03,4,2,2,0,0
12.0,12,2.44,2.21,28.64,29.0,60.97,8,3,3,0,0
13.0,12,2.48,2.14,31.12,31.14,61.8,7,3,3,0,0
14.0,12,2.52,2.9,33.64,34.04,62.6,7,2,3,0,0
15.0,12,2.56,2.78,36.2,36.82,63.69,6,4,2,0,0
16.0,12,2.6,2.33,38.8,39.15,64.72,6,3,3,0,0
17.0,12,2.64,2.36,41.44,41.51,65.59,5,4,3,0,0
18.0,12,2.68,2.27,44.12,43.78,66.46,8,3,3,0,0
19.0,12,2.72,2.43,46.84,46.21,67.3,5,3,2,0,0
20.0,12,2.76,2.34,49.6,48.55,68.2,1,4,1,0,0
21.0,12,2.8,3.24,52.4,51.79,69.06,4,2,1,0,0
22.0,12,2.84,3.2,55.24,54.99,70.24,7,2,3,0,0
23.0,12,2.88,3.24,58.12,58.23,71.41,7,3,3,0,0
24.0,12,2.92,2.53,61.04,60.76,72.59,8,3,2,0,0
25.0,12,2.96,2.56,64.0,63.32,73.51,8,4,3,0,0
26.0,12,3.0,3.35,67.0,66.67,74.43,10,4,3,0,0
27.0,12,3.0,3.16,70.0,69.83,75.64,2,3,0,0,0
28.0,12,3.0,3.09,73.0,72.92,76.77,9,3,3,0,0
29.0,12,3.0,3.33,76.0,76.25,77.87,9,3,3,0,0
30.0,12,3.0,2.63,79.0,78.88,79.06,3,4,0,0,0
31.0,12,3.0,2.91,82.0,81.79,79.99,5,3,3,0,0
32.0,12,3.0,2.95,85.0,84.74,81.02,4,4,1,0,0
33.0,12,3.0,3.34,88.0,88.08,82.05,10,4,3,0,0
34.0,12,3.0,3.03,91.0,91.11,83.23,6,2,2,0,0
35.0,12,3.0,3.12,94.0,94.23,84.28,4,2,2,0,0
36.0,12,3.0,2.72,97.0,96.95,85.37,5,2,3,1,0
37.0,12,3.0,1.7,100.0,98.65,86.31,6,5,3,0,0
38.0,12,3.0,3.71,103.0,102.36,86.9,4,4,0,1,1
39.0,12,3.0,2.07,106.0,104.43,88.18,5,6,3,0,1
40.0,12,3.0,3.33,109.0,107.76,88.89,7,3,3,1,2
41.0,12,3.0,1.77,112.0,109.53,90.03,2,6,1,1,3
42.0,12,3.0,1.91,115.0,111.44,90.64,4,5,3,1,4
43.0,12,3.0,1.63,118.0,113.07,91.29,4,5,3,0,5
44.0,12,3.0,3.53,121.0,116.6,91.84,5,3,2,0,5
45.0,12,3.0,3.67,124.0,120.27,93.04,5,3,1,0,5
46.0,12,3.0,3.73,127.0,124.0,94.28,4,2,2,0,5
47.0,12,3.0,2.74,130.0,126.74,95.53,4,2,2,0,5
48.0,12,3.0,3.54,133.0,130.28,96.45,4,3,1,0,5
49.0,12,3.0,3.29,136.0,133.57,97.63,10,3,3,0,5
50.0,12,3.0,2.81,139.0,136.38,98.73,5,4,2,0,5
51.0,12,3.0,3.52,142.0,139.9,99.66,6,2,3,0,5
52.0,12,3.0,3.44,145.0,143.34,100.82,4,4,0,0,5
53.0,12,3.0,2.75,148.0,146.09,101.95,7,2,3,0,5
54.0,12,3.0,3.29,151.0,149.38,102.85,3,3,3,0,5
55.0,12,3.0,3.59,154.0,152.97,103.92,5,2,3,0,5
